inn_bat,name,mnum,rs,four,six,out,bowf,inn_bow,rc,balb,wkt,season,type,date,city,teams,team_nm
1,AD Russell,9,0.0,0.0,0.0,1.0,1.0,,,,,2023,T20,2023_04_06,Kolkata,Kolkata Knight Riders_v_Royal Challengers Bangalore,Kolkata Knight Riders
1,CV Varun,9,,,,,,2.0,15.0,22.0,4.0,2023,T20,2023_04_06,Kolkata,Kolkata Knight Riders_v_Royal Challengers Bangalore,Kolkata Knight Riders
1,Suyash Sharma,9,,,,,,2.0,29.0,24.0,3.0,2023,T20,2023_04_06,Kolkata,Kolkata Knight Riders_v_Royal Challengers Bangalore,Kolkata Knight Riders
1,VR Iyer,9,3.0,0.0,0.0,1.0,7.0,,,,,2023,T20,2023_04_06,Kolkata,Kolkata Knight Riders_v_Royal Challengers Bangalore,Kolkata Knight Riders
1,UT Yadav,9,6.0,1.0,0.0,0.0,2.0,2.0,17.0,12.0,0.0,2023,T20,2023_04_06,Kolkata,Kolkata Knight Riders_v_Royal Challengers Bangalore,Kolkata Knight Riders
1,SP Narine,9,0.0,0.0,0.0,0.0,1.0,2.0,16.0,24.0,2.0,2023,T20,2023_04_06,Kolkata,Kolkata Knight Riders_v_Royal Challengers Bangalore,Kolkata Knight Riders
1,TG Southee,9,,,,,,2.0,25.0,12.0,0.0,2023,T20,2023_04_06,Kolkata,Kolkata Knight Riders_v_Royal Challengers Bangalore,Kolkata Knight Riders
1,Rahmanullah Gurbaz,9,57.0,6.0,3.0,1.0,43.0,,,,,2023,T20,2023_04_06,Kolkata,Kolkata Knight Riders_v_Royal Challengers Bangalore,Kolkata Knight Riders
1,RK Singh,9,46.0,2.0,3.0,1.0,31.0,,,,,2023,T20,2023_04_06,Kolkata,Kolkata Knight Riders_v_Royal Challengers Bangalore,Kolkata Knight Riders
1,Mandeep Singh,9,0.0,0.0,0.0,1.0,1.0,,,,,2023,T20,2023_04_06,Kolkata,Kolkata Knight Riders_v_Royal Challengers Bangalore,Kolkata Knight Riders
1,N Rana,9,1.0,0.0,0.0,1.0,5.0,,,,,2023,T20,2023_04_06,Kolkata,Kolkata Knight Riders_v_Royal Challengers Bangalore,Kolkata Knight Riders
1,SN Thakur,9,68.0,9.0,3.0,1.0,29.0,2.0,15.0,12.0,1.0,2023,T20,2023_04_06,Kolkata,Kolkata Knight Riders_v_Royal Challengers Bangalore,Kolkata Knight Riders
2,Mohammed Siraj,9,,,,,,1.0,36.0,24.0,1.0,2023,T20,2023_04_06,Kolkata,Kolkata Knight Riders_v_Royal Challengers Bangalore,Royal Challengers Bangalore
2,V Kohli,9,21.0,3.0,0.0,1.0,18.0,,,,,2023,T20,2023_04_06,Kolkata,Kolkata Knight Riders_v_Royal Challengers Bangalore,Royal Challengers Bangalore
2,Shahbaz Ahmed,9,1.0,0.0,0.0,1.0,5.0,1.0,6.0,6.0,0.0,2023,T20,2023_04_06,Kolkata,Kolkata Knight Riders_v_Royal Challengers Bangalore,Royal Challengers Bangalore
2,MG Bracewell,9,19.0,1.0,1.0,1.0,18.0,1.0,34.0,18.0,1.0,2023,T20,2023_04_06,Kolkata,Kolkata Knight Riders_v_Royal Challengers Bangalore,Royal Challengers Bangalore
2,KD Karthik,9,9.0,1.0,0.0,1.0,8.0,,,,,2023,T20,2023_04_06,Kolkata,Kolkata Knight Riders_v_Royal Challengers Bangalore,Royal Challengers Bangalore
2,HV Patel,9,0.0,0.0,0.0,1.0,2.0,1.0,37.0,18.0,1.0,2023,T20,2023_04_06,Kolkata,Kolkata Knight Riders_v_Royal Challengers Bangalore,Royal Challengers Bangalore
2,GJ Maxwell,9,5.0,1.0,0.0,1.0,7.0,,,,,2023,T20,2023_04_06,Kolkata,Kolkata Knight Riders_v_Royal Challengers Bangalore,Royal Challengers Bangalore
2,F du Plessis,9,23.0,2.0,2.0,1.0,12.0,,,,,2023,T20,2023_04_06,Kolkata,Kolkata Knight Riders_v_Royal Challengers Bangalore,Royal Challengers Bangalore
2,Anuj Rawat,9,1.0,0.0,0.0,1.0,5.0,,,,,2023,T20,2023_04_06,Kolkata,Kolkata Knight Riders_v_Royal Challengers Bangalore,Royal Challengers Bangalore
2,Akash Deep,9,17.0,2.0,1.0,1.0,8.0,1.0,27.0,12.0,0.0,2023,T20,2023_04_06,Kolkata,Kolkata Knight Riders_v_Royal Challengers Bangalore,Royal Challengers Bangalore
2,KV Sharma,9,1.0,0.0,0.0,1.0,3.0,1.0,26.0,18.0,2.0,2023,T20,2023_04_06,Kolkata,Kolkata Knight Riders_v_Royal Challengers Bangalore,Royal Challengers Bangalore
2,DJ Willey,9,20.0,2.0,0.0,0.0,20.0,1.0,15.0,24.0,2.0,2023,T20,2023_04_06,Kolkata,Kolkata Knight Riders_v_Royal Challengers Bangalore,Royal Challengers Bangalore
