inn_bat,name,mnum,rs,four,six,out,bowf,inn_bow,rc,balb,wkt,season,type,date,city,teams,team_nm
1,HC Brook,10,3.0,0.0,0.0,1.0,4.0,,,,,2023,T20,2023_04_07,Lucknow,Sunrisers Hyderabad_v_Lucknow Super Giants,Sunrisers Hyderabad
1,T Natarajan,10,,,,,,2.0,22.0,18.0,0.0,2023,T20,2023_04_07,Lucknow,Sunrisers Hyderabad_v_Lucknow Super Giants,Sunrisers Hyderabad
1,Fazalhaq Farooqi,10,,,,,,2.0,12.0,18.0,1.0,2023,T20,2023_04_07,Lucknow,Sunrisers Hyderabad_v_Lucknow Super Giants,Sunrisers Hyderabad
1,B Kumar,10,,,,,,2.0,14.0,12.0,1.0,2023,T20,2023_04_07,Lucknow,Sunrisers Hyderabad_v_Lucknow Super Giants,Sunrisers Hyderabad
1,AK Markram,10,0.0,0.0,0.0,1.0,1.0,2.0,14.0,12.0,0.0,2023,T20,2023_04_07,Lucknow,Sunrisers Hyderabad_v_Lucknow Super Giants,Sunrisers Hyderabad
1,AU Rashid,10,4.0,1.0,0.0,1.0,3.0,2.0,23.0,18.0,2.0,2023,T20,2023_04_07,Lucknow,Sunrisers Hyderabad_v_Lucknow Super Giants,Sunrisers Hyderabad
1,Abdul Samad,10,21.0,1.0,2.0,1.0,10.0,,,,,2023,T20,2023_04_07,Lucknow,Sunrisers Hyderabad_v_Lucknow Super Giants,Sunrisers Hyderabad
1,Anmolpreet Singh,10,31.0,3.0,1.0,1.0,26.0,,,,,2023,T20,2023_04_07,Lucknow,Sunrisers Hyderabad_v_Lucknow Super Giants,Sunrisers Hyderabad
1,Umran Malik,10,,,,,,2.0,14.0,12.0,1.0,2023,T20,2023_04_07,Lucknow,Sunrisers Hyderabad_v_Lucknow Super Giants,Sunrisers Hyderabad
1,MA Agarwal,10,8.0,1.0,0.0,1.0,7.0,,,,,2023,T20,2023_04_07,Lucknow,Sunrisers Hyderabad_v_Lucknow Super Giants,Sunrisers Hyderabad
1,RA Tripathi,10,34.0,4.0,0.0,1.0,41.0,,,,,2023,T20,2023_04_07,Lucknow,Sunrisers Hyderabad_v_Lucknow Super Giants,Sunrisers Hyderabad
1,Washington Sundar,10,16.0,0.0,0.0,1.0,28.0,2.0,11.0,6.0,0.0,2023,T20,2023_04_07,Lucknow,Sunrisers Hyderabad_v_Lucknow Super Giants,Sunrisers Hyderabad
2,Ravi Bishnoi,10,,,,,,1.0,15.0,24.0,1.0,2023,T20,2023_04_07,Lucknow,Sunrisers Hyderabad_v_Lucknow Super Giants,Lucknow Super Giants
2,JD Unadkat,10,,,,,,1.0,25.0,18.0,1.0,2023,T20,2023_04_07,Lucknow,Sunrisers Hyderabad_v_Lucknow Super Giants,Lucknow Super Giants
2,A Mishra,10,,,,,,1.0,23.0,24.0,2.0,2023,T20,2023_04_07,Lucknow,Sunrisers Hyderabad_v_Lucknow Super Giants,Lucknow Super Giants
2,DJ Hooda,10,7.0,0.0,1.0,1.0,8.0,1.0,8.0,6.0,0.0,2023,T20,2023_04_07,Lucknow,Sunrisers Hyderabad_v_Lucknow Super Giants,Lucknow Super Giants
2,N Pooran,10,11.0,1.0,1.0,0.0,6.0,,,,,2023,T20,2023_04_07,Lucknow,Sunrisers Hyderabad_v_Lucknow Super Giants,Lucknow Super Giants
2,MP Stoinis,10,10.0,2.0,0.0,0.0,13.0,,,,,2023,T20,2023_04_07,Lucknow,Sunrisers Hyderabad_v_Lucknow Super Giants,Lucknow Super Giants
2,KR Mayers,10,13.0,2.0,0.0,1.0,14.0,1.0,5.0,6.0,0.0,2023,T20,2023_04_07,Lucknow,Sunrisers Hyderabad_v_Lucknow Super Giants,Lucknow Super Giants
2,KL Rahul,10,35.0,4.0,0.0,1.0,31.0,,,,,2023,T20,2023_04_07,Lucknow,Sunrisers Hyderabad_v_Lucknow Super Giants,Lucknow Super Giants
2,KH Pandya,10,34.0,4.0,1.0,1.0,23.0,1.0,18.0,24.0,3.0,2023,T20,2023_04_07,Lucknow,Sunrisers Hyderabad_v_Lucknow Super Giants,Lucknow Super Giants
2,R Shepherd,10,0.0,0.0,0.0,1.0,1.0,,,,,2023,T20,2023_04_07,Lucknow,Sunrisers Hyderabad_v_Lucknow Super Giants,Lucknow Super Giants
2,Yash Thakur,10,,,,,,1.0,23.0,18.0,1.0,2023,T20,2023_04_07,Lucknow,Sunrisers Hyderabad_v_Lucknow Super Giants,Lucknow Super Giants
