bat_tm_inn1,bow_tm_inn1,inn_bat,name,rs,four,six,out,bowf,bow_tm_inn2,bat_tm_inn2,inn_bow,rc,balb,wkt,season,type,date,city,teams
Sunrisers Hyderabad,Lucknow Super Giants,1,HC Brook,3.0,0.0,0.0,1.0,4.0,,,,,,,2023,T20,2023_04_07,Lucknow,Sunrisers Hyderabad_v_Lucknow Super Giants
,,1,T Natarajan,,,,,,Sunrisers Hyderabad,Lucknow Super Giants,2.0,22.0,18.0,0.0,2023,T20,2023_04_07,Lucknow,Sunrisers Hyderabad_v_Lucknow Super Giants
,,1,Fazalhaq Farooqi,,,,,,Sunrisers Hyderabad,Lucknow Super Giants,2.0,12.0,18.0,1.0,2023,T20,2023_04_07,Lucknow,Sunrisers Hyderabad_v_Lucknow Super Giants
,,1,B Kumar,,,,,,Sunrisers Hyderabad,Lucknow Super Giants,2.0,14.0,12.0,1.0,2023,T20,2023_04_07,Lucknow,Sunrisers Hyderabad_v_Lucknow Super Giants
Sunrisers Hyderabad,Lucknow Super Giants,1,AK Markram,0.0,0.0,0.0,1.0,1.0,Sunrisers Hyderabad,Lucknow Super Giants,2.0,14.0,12.0,0.0,2023,T20,2023_04_07,Lucknow,Sunrisers Hyderabad_v_Lucknow Super Giants
Sunrisers Hyderabad,Lucknow Super Giants,1,AU Rashid,4.0,1.0,0.0,1.0,3.0,Sunrisers Hyderabad,Lucknow Super Giants,2.0,23.0,18.0,2.0,2023,T20,2023_04_07,Lucknow,Sunrisers Hyderabad_v_Lucknow Super Giants
Sunrisers Hyderabad,Lucknow Super Giants,1,Abdul Samad,21.0,1.0,2.0,1.0,10.0,,,,,,,2023,T20,2023_04_07,Lucknow,Sunrisers Hyderabad_v_Lucknow Super Giants
Sunrisers Hyderabad,Lucknow Super Giants,1,Anmolpreet Singh,31.0,3.0,1.0,1.0,26.0,,,,,,,2023,T20,2023_04_07,Lucknow,Sunrisers Hyderabad_v_Lucknow Super Giants
,,1,Umran Malik,,,,,,Sunrisers Hyderabad,Lucknow Super Giants,2.0,14.0,12.0,1.0,2023,T20,2023_04_07,Lucknow,Sunrisers Hyderabad_v_Lucknow Super Giants
Sunrisers Hyderabad,Lucknow Super Giants,1,MA Agarwal,8.0,1.0,0.0,1.0,7.0,,,,,,,2023,T20,2023_04_07,Lucknow,Sunrisers Hyderabad_v_Lucknow Super Giants
Sunrisers Hyderabad,Lucknow Super Giants,1,RA Tripathi,34.0,4.0,0.0,1.0,41.0,,,,,,,2023,T20,2023_04_07,Lucknow,Sunrisers Hyderabad_v_Lucknow Super Giants
Sunrisers Hyderabad,Lucknow Super Giants,1,Washington Sundar,16.0,0.0,0.0,1.0,28.0,Sunrisers Hyderabad,Lucknow Super Giants,2.0,11.0,6.0,0.0,2023,T20,2023_04_07,Lucknow,Sunrisers Hyderabad_v_Lucknow Super Giants
,,2,Ravi Bishnoi,,,,,,Lucknow Super Giants,Sunrisers Hyderabad,1.0,15.0,24.0,1.0,2023,T20,2023_04_07,Lucknow,Sunrisers Hyderabad_v_Lucknow Super Giants
,,2,JD Unadkat,,,,,,Lucknow Super Giants,Sunrisers Hyderabad,1.0,25.0,18.0,1.0,2023,T20,2023_04_07,Lucknow,Sunrisers Hyderabad_v_Lucknow Super Giants
,,2,A Mishra,,,,,,Lucknow Super Giants,Sunrisers Hyderabad,1.0,23.0,24.0,2.0,2023,T20,2023_04_07,Lucknow,Sunrisers Hyderabad_v_Lucknow Super Giants
Lucknow Super Giants,Sunrisers Hyderabad,2,DJ Hooda,7.0,0.0,1.0,1.0,8.0,Lucknow Super Giants,Sunrisers Hyderabad,1.0,8.0,6.0,0.0,2023,T20,2023_04_07,Lucknow,Sunrisers Hyderabad_v_Lucknow Super Giants
Lucknow Super Giants,Sunrisers Hyderabad,2,N Pooran,11.0,1.0,1.0,0.0,6.0,,,,,,,2023,T20,2023_04_07,Lucknow,Sunrisers Hyderabad_v_Lucknow Super Giants
Lucknow Super Giants,Sunrisers Hyderabad,2,MP Stoinis,10.0,2.0,0.0,0.0,13.0,,,,,,,2023,T20,2023_04_07,Lucknow,Sunrisers Hyderabad_v_Lucknow Super Giants
Lucknow Super Giants,Sunrisers Hyderabad,2,KR Mayers,13.0,2.0,0.0,1.0,14.0,Lucknow Super Giants,Sunrisers Hyderabad,1.0,5.0,6.0,0.0,2023,T20,2023_04_07,Lucknow,Sunrisers Hyderabad_v_Lucknow Super Giants
Lucknow Super Giants,Sunrisers Hyderabad,2,KL Rahul,35.0,4.0,0.0,1.0,31.0,,,,,,,2023,T20,2023_04_07,Lucknow,Sunrisers Hyderabad_v_Lucknow Super Giants
Lucknow Super Giants,Sunrisers Hyderabad,2,KH Pandya,34.0,4.0,1.0,1.0,23.0,Lucknow Super Giants,Sunrisers Hyderabad,1.0,18.0,24.0,3.0,2023,T20,2023_04_07,Lucknow,Sunrisers Hyderabad_v_Lucknow Super Giants
Lucknow Super Giants,Sunrisers Hyderabad,2,R Shepherd,0.0,0.0,0.0,1.0,1.0,,,,,,,2023,T20,2023_04_07,Lucknow,Sunrisers Hyderabad_v_Lucknow Super Giants
,,2,Yash Thakur,,,,,,Lucknow Super Giants,Sunrisers Hyderabad,1.0,23.0,18.0,1.0,2023,T20,2023_04_07,Lucknow,Sunrisers Hyderabad_v_Lucknow Super Giants
