bat_tm_inn1,bow_tm_inn1,inn_bat,name,rs,four,six,out,bowf,bow_tm_inn2,bat_tm_inn2,inn_bow,rc,balb,wkt,season,type,date,city,teams
Rajasthan Royals,Delhi Capitals,1,Dhruv Jurel,8.0,0.0,1.0,0.0,3.0,,,,,,,2023,T20,2023_04_08,Guwahati,Rajasthan Royals_v_Delhi Capitals
,,1,Sandeep Sharma,,,,,,Rajasthan Royals,Delhi Capitals,2.0,19.0,24.0,1.0,2023,T20,2023_04_08,Guwahati,Rajasthan Royals_v_Delhi Capitals
,,1,R Ashwin,,,,,,Rajasthan Royals,Delhi Capitals,2.0,22.0,24.0,2.0,2023,T20,2023_04_08,Guwahati,Rajasthan Royals_v_Delhi Capitals
,,1,M Ashwin,,,,,,Rajasthan Royals,Delhi Capitals,2.0,10.0,6.0,0.0,2023,T20,2023_04_08,Guwahati,Rajasthan Royals_v_Delhi Capitals
,,1,JO Holder,,,,,,Rajasthan Royals,Delhi Capitals,2.0,27.0,18.0,0.0,2023,T20,2023_04_08,Guwahati,Rajasthan Royals_v_Delhi Capitals
Rajasthan Royals,Delhi Capitals,1,YBK Jaiswal,60.0,11.0,1.0,1.0,31.0,,,,,,,2023,T20,2023_04_08,Guwahati,Rajasthan Royals_v_Delhi Capitals
Rajasthan Royals,Delhi Capitals,1,SV Samson,0.0,0.0,0.0,1.0,4.0,,,,,,,2023,T20,2023_04_08,Guwahati,Rajasthan Royals_v_Delhi Capitals
Rajasthan Royals,Delhi Capitals,1,SO Hetmyer,39.0,1.0,4.0,0.0,20.0,,,,,,,2023,T20,2023_04_08,Guwahati,Rajasthan Royals_v_Delhi Capitals
Rajasthan Royals,Delhi Capitals,1,R Parag,7.0,0.0,0.0,1.0,11.0,,,,,,,2023,T20,2023_04_08,Guwahati,Rajasthan Royals_v_Delhi Capitals
Rajasthan Royals,Delhi Capitals,1,JC Buttler,79.0,11.0,1.0,1.0,51.0,,,,,,,2023,T20,2023_04_08,Guwahati,Rajasthan Royals_v_Delhi Capitals
,,1,TA Boult,,,,,,Rajasthan Royals,Delhi Capitals,2.0,29.0,24.0,3.0,2023,T20,2023_04_08,Guwahati,Rajasthan Royals_v_Delhi Capitals
,,1,YS Chahal,,,,,,Rajasthan Royals,Delhi Capitals,2.0,25.0,24.0,3.0,2023,T20,2023_04_08,Guwahati,Rajasthan Royals_v_Delhi Capitals
Delhi Capitals,Rajasthan Royals,2,R Powell,2.0,0.0,0.0,1.0,2.0,Delhi Capitals,Rajasthan Royals,1.0,16.0,12.0,1.0,2023,T20,2023_04_08,Guwahati,Rajasthan Royals_v_Delhi Capitals
Delhi Capitals,Rajasthan Royals,2,PP Shaw,0.0,0.0,0.0,1.0,3.0,,,,,,,2023,T20,2023_04_08,Guwahati,Rajasthan Royals_v_Delhi Capitals
Delhi Capitals,Rajasthan Royals,2,Mukesh Kumar,1.0,0.0,0.0,0.0,1.0,Delhi Capitals,Rajasthan Royals,1.0,36.0,24.0,2.0,2023,T20,2023_04_08,Guwahati,Rajasthan Royals_v_Delhi Capitals
Delhi Capitals,Rajasthan Royals,2,MK Pandey,0.0,0.0,0.0,1.0,1.0,,,,,,,2023,T20,2023_04_08,Guwahati,Rajasthan Royals_v_Delhi Capitals
Delhi Capitals,Rajasthan Royals,2,Lalit Yadav,38.0,5.0,0.0,1.0,24.0,,,,,,,2023,T20,2023_04_08,Guwahati,Rajasthan Royals_v_Delhi Capitals
Delhi Capitals,Rajasthan Royals,2,Kuldeep Yadav,3.0,0.0,0.0,0.0,7.0,Delhi Capitals,Rajasthan Royals,1.0,31.0,24.0,1.0,2023,T20,2023_04_08,Guwahati,Rajasthan Royals_v_Delhi Capitals
,,2,KK Ahmed,,,,,,Delhi Capitals,Rajasthan Royals,1.0,28.0,12.0,0.0,2023,T20,2023_04_08,Guwahati,Rajasthan Royals_v_Delhi Capitals
Delhi Capitals,Rajasthan Royals,2,DA Warner,65.0,7.0,0.0,1.0,54.0,,,,,,,2023,T20,2023_04_08,Guwahati,Rajasthan Royals_v_Delhi Capitals
Delhi Capitals,Rajasthan Royals,2,Abishek Porel,7.0,1.0,0.0,1.0,9.0,,,,,,,2023,T20,2023_04_08,Guwahati,Rajasthan Royals_v_Delhi Capitals
Delhi Capitals,Rajasthan Royals,2,AR Patel,2.0,0.0,0.0,1.0,6.0,Delhi Capitals,Rajasthan Royals,1.0,38.0,24.0,0.0,2023,T20,2023_04_08,Guwahati,Rajasthan Royals_v_Delhi Capitals
Delhi Capitals,Rajasthan Royals,2,RR Rossouw,14.0,2.0,0.0,1.0,12.0,,,,,,,2023,T20,2023_04_08,Guwahati,Rajasthan Royals_v_Delhi Capitals
Delhi Capitals,Rajasthan Royals,2,A Nortje,0.0,0.0,0.0,1.0,1.0,Delhi Capitals,Rajasthan Royals,1.0,44.0,24.0,0.0,2023,T20,2023_04_08,Guwahati,Rajasthan Royals_v_Delhi Capitals
