inn_bat,name,mnum,rs,four,six,out,bowf,inn_bow,rc,balb,wkt,season,type,date,city,teams,team_nm
1,SA Yadav,12,1.0,0.0,0.0,1.0,2.0,,,,,2023,T20,2023_04_08,Mumbai,Mumbai Indians_v_Chennai Super Kings,Mumbai Indians
1,K Kartikeya,12,,,,,,2.0,24.0,24.0,1.0,2023,T20,2023_04_08,Mumbai,Mumbai Indians_v_Chennai Super Kings,Mumbai Indians
1,JP Behrendorff,12,,,,,,2.0,23.0,18.0,1.0,2023,T20,2023_04_08,Mumbai,Mumbai Indians_v_Chennai Super Kings,Mumbai Indians
1,Arshad Khan,12,2.0,0.0,0.0,1.0,4.0,2.0,31.0,13.0,0.0,2023,T20,2023_04_08,Mumbai,Mumbai Indians_v_Chennai Super Kings,Mumbai Indians
1,C Green,12,12.0,1.0,0.0,1.0,11.0,2.0,19.0,18.0,0.0,2023,T20,2023_04_08,Mumbai,Mumbai Indians_v_Chennai Super Kings,Mumbai Indians
1,HR Shokeen,12,18.0,3.0,0.0,0.0,13.0,2.0,19.0,12.0,0.0,2023,T20,2023_04_08,Mumbai,Mumbai Indians_v_Chennai Super Kings,Mumbai Indians
1,Ishan Kishan,12,32.0,5.0,0.0,1.0,21.0,,,,,2023,T20,2023_04_08,Mumbai,Mumbai Indians_v_Chennai Super Kings,Mumbai Indians
1,PP Chawla,12,5.0,0.0,0.0,0.0,6.0,2.0,33.0,24.0,1.0,2023,T20,2023_04_08,Mumbai,Mumbai Indians_v_Chennai Super Kings,Mumbai Indians
1,RG Sharma,12,21.0,3.0,1.0,1.0,13.0,,,,,2023,T20,2023_04_08,Mumbai,Mumbai Indians_v_Chennai Super Kings,Mumbai Indians
1,T Stubbs,12,5.0,0.0,0.0,1.0,10.0,,,,,2023,T20,2023_04_08,Mumbai,Mumbai Indians_v_Chennai Super Kings,Mumbai Indians
1,TH David,12,31.0,1.0,2.0,1.0,22.0,,,,,2023,T20,2023_04_08,Mumbai,Mumbai Indians_v_Chennai Super Kings,Mumbai Indians
1,Tilak Varma,12,22.0,2.0,1.0,1.0,18.0,,,,,2023,T20,2023_04_08,Mumbai,Mumbai Indians_v_Chennai Super Kings,Mumbai Indians
2,RA Jadeja,12,,,,,,1.0,20.0,24.0,3.0,2023,T20,2023_04_08,Mumbai,Mumbai Indians_v_Chennai Super Kings,Chennai Super Kings
2,MJ Santner,12,,,,,,1.0,28.0,24.0,2.0,2023,T20,2023_04_08,Mumbai,Mumbai Indians_v_Chennai Super Kings,Chennai Super Kings
2,DL Chahar,12,,,,,,1.0,10.0,6.0,0.0,2023,T20,2023_04_08,Mumbai,Mumbai Indians_v_Chennai Super Kings,Chennai Super Kings
2,AM Rahane,12,61.0,7.0,3.0,1.0,27.0,,,,,2023,T20,2023_04_08,Mumbai,Mumbai Indians_v_Chennai Super Kings,Chennai Super Kings
2,SSB Magala,12,,,,,,1.0,37.0,24.0,1.0,2023,T20,2023_04_08,Mumbai,Mumbai Indians_v_Chennai Super Kings,Chennai Super Kings
2,S Dube,12,28.0,2.0,1.0,1.0,26.0,,,,,2023,T20,2023_04_08,Mumbai,Mumbai Indians_v_Chennai Super Kings,Chennai Super Kings
2,RD Gaikwad,12,40.0,2.0,1.0,0.0,36.0,,,,,2023,T20,2023_04_08,Mumbai,Mumbai Indians_v_Chennai Super Kings,Chennai Super Kings
2,DP Conway,12,0.0,0.0,0.0,1.0,4.0,,,,,2023,T20,2023_04_08,Mumbai,Mumbai Indians_v_Chennai Super Kings,Chennai Super Kings
2,AT Rayudu,12,20.0,3.0,0.0,0.0,16.0,,,,,2023,T20,2023_04_08,Mumbai,Mumbai Indians_v_Chennai Super Kings,Chennai Super Kings
2,D Pretorius,12,,,,,,1.0,24.0,24.0,0.0,2023,T20,2023_04_08,Mumbai,Mumbai Indians_v_Chennai Super Kings,Chennai Super Kings
2,TU Deshpande,12,,,,,,1.0,30.0,18.0,2.0,2023,T20,2023_04_08,Mumbai,Mumbai Indians_v_Chennai Super Kings,Chennai Super Kings
