bat_tm_inn1,bow_tm_inn1,inn_bat,name,rs,four,six,out,bowf,bow_tm_inn2,bat_tm_inn2,inn_bow,rc,balb,wkt,season,type,date,city,teams
Mumbai Indians,Chennai Super Kings,1,SA Yadav,1.0,0.0,0.0,1.0,2.0,,,,,,,2023,T20,2023_04_08,Mumbai,Mumbai Indians_v_Chennai Super Kings
,,1,K Kartikeya,,,,,,Mumbai Indians,Chennai Super Kings,2.0,24.0,24.0,1.0,2023,T20,2023_04_08,Mumbai,Mumbai Indians_v_Chennai Super Kings
,,1,JP Behrendorff,,,,,,Mumbai Indians,Chennai Super Kings,2.0,23.0,18.0,1.0,2023,T20,2023_04_08,Mumbai,Mumbai Indians_v_Chennai Super Kings
Mumbai Indians,Chennai Super Kings,1,Arshad Khan,2.0,0.0,0.0,1.0,4.0,Mumbai Indians,Chennai Super Kings,2.0,31.0,13.0,0.0,2023,T20,2023_04_08,Mumbai,Mumbai Indians_v_Chennai Super Kings
Mumbai Indians,Chennai Super Kings,1,C Green,12.0,1.0,0.0,1.0,11.0,Mumbai Indians,Chennai Super Kings,2.0,19.0,18.0,0.0,2023,T20,2023_04_08,Mumbai,Mumbai Indians_v_Chennai Super Kings
Mumbai Indians,Chennai Super Kings,1,HR Shokeen,18.0,3.0,0.0,0.0,13.0,Mumbai Indians,Chennai Super Kings,2.0,19.0,12.0,0.0,2023,T20,2023_04_08,Mumbai,Mumbai Indians_v_Chennai Super Kings
Mumbai Indians,Chennai Super Kings,1,Ishan Kishan,32.0,5.0,0.0,1.0,21.0,,,,,,,2023,T20,2023_04_08,Mumbai,Mumbai Indians_v_Chennai Super Kings
Mumbai Indians,Chennai Super Kings,1,PP Chawla,5.0,0.0,0.0,0.0,6.0,Mumbai Indians,Chennai Super Kings,2.0,33.0,24.0,1.0,2023,T20,2023_04_08,Mumbai,Mumbai Indians_v_Chennai Super Kings
Mumbai Indians,Chennai Super Kings,1,RG Sharma,21.0,3.0,1.0,1.0,13.0,,,,,,,2023,T20,2023_04_08,Mumbai,Mumbai Indians_v_Chennai Super Kings
Mumbai Indians,Chennai Super Kings,1,T Stubbs,5.0,0.0,0.0,1.0,10.0,,,,,,,2023,T20,2023_04_08,Mumbai,Mumbai Indians_v_Chennai Super Kings
Mumbai Indians,Chennai Super Kings,1,TH David,31.0,1.0,2.0,1.0,22.0,,,,,,,2023,T20,2023_04_08,Mumbai,Mumbai Indians_v_Chennai Super Kings
Mumbai Indians,Chennai Super Kings,1,Tilak Varma,22.0,2.0,1.0,1.0,18.0,,,,,,,2023,T20,2023_04_08,Mumbai,Mumbai Indians_v_Chennai Super Kings
,,2,RA Jadeja,,,,,,Chennai Super Kings,Mumbai Indians,1.0,20.0,24.0,3.0,2023,T20,2023_04_08,Mumbai,Mumbai Indians_v_Chennai Super Kings
,,2,MJ Santner,,,,,,Chennai Super Kings,Mumbai Indians,1.0,28.0,24.0,2.0,2023,T20,2023_04_08,Mumbai,Mumbai Indians_v_Chennai Super Kings
,,2,DL Chahar,,,,,,Chennai Super Kings,Mumbai Indians,1.0,10.0,6.0,0.0,2023,T20,2023_04_08,Mumbai,Mumbai Indians_v_Chennai Super Kings
Chennai Super Kings,Mumbai Indians,2,AM Rahane,61.0,7.0,3.0,1.0,27.0,,,,,,,2023,T20,2023_04_08,Mumbai,Mumbai Indians_v_Chennai Super Kings
,,2,SSB Magala,,,,,,Chennai Super Kings,Mumbai Indians,1.0,37.0,24.0,1.0,2023,T20,2023_04_08,Mumbai,Mumbai Indians_v_Chennai Super Kings
Chennai Super Kings,Mumbai Indians,2,S Dube,28.0,2.0,1.0,1.0,26.0,,,,,,,2023,T20,2023_04_08,Mumbai,Mumbai Indians_v_Chennai Super Kings
Chennai Super Kings,Mumbai Indians,2,RD Gaikwad,40.0,2.0,1.0,0.0,36.0,,,,,,,2023,T20,2023_04_08,Mumbai,Mumbai Indians_v_Chennai Super Kings
Chennai Super Kings,Mumbai Indians,2,DP Conway,0.0,0.0,0.0,1.0,4.0,,,,,,,2023,T20,2023_04_08,Mumbai,Mumbai Indians_v_Chennai Super Kings
Chennai Super Kings,Mumbai Indians,2,AT Rayudu,20.0,3.0,0.0,0.0,16.0,,,,,,,2023,T20,2023_04_08,Mumbai,Mumbai Indians_v_Chennai Super Kings
,,2,D Pretorius,,,,,,Chennai Super Kings,Mumbai Indians,1.0,24.0,24.0,0.0,2023,T20,2023_04_08,Mumbai,Mumbai Indians_v_Chennai Super Kings
,,2,TU Deshpande,,,,,,Chennai Super Kings,Mumbai Indians,1.0,30.0,18.0,2.0,2023,T20,2023_04_08,Mumbai,Mumbai Indians_v_Chennai Super Kings
