inn_bat,name,mnum,rs,four,six,out,bowf,inn_bow,rc,balb,wkt,season,type,date,city,teams,team_nm
1,A Manohar,13,14.0,3.0,0.0,1.0,8.0,,,,,2023,T20,2023_04_09,Ahmedabad,Gujarat Titans_v_Kolkata Knight Riders,Gujarat Titans
1,Rashid Khan,13,,,,,,2.0,37.0,24.0,3.0,2023,T20,2023_04_09,Ahmedabad,Gujarat Titans_v_Kolkata Knight Riders,Gujarat Titans
1,Mohammed Shami,13,,,,,,2.0,28.0,24.0,1.0,2023,T20,2023_04_09,Ahmedabad,Gujarat Titans_v_Kolkata Knight Riders,Gujarat Titans
1,J Little,13,,,,,,2.0,42.0,24.0,1.0,2023,T20,2023_04_09,Ahmedabad,Gujarat Titans_v_Kolkata Knight Riders,Gujarat Titans
1,AS Joseph,13,,,,,,2.0,27.0,24.0,2.0,2023,T20,2023_04_09,Ahmedabad,Gujarat Titans_v_Kolkata Knight Riders,Gujarat Titans
1,Yash Dayal,13,,,,,,2.0,69.0,24.0,0.0,2023,T20,2023_04_09,Ahmedabad,Gujarat Titans_v_Kolkata Knight Riders,Gujarat Titans
1,B Sai Sudharsan,13,53.0,3.0,2.0,1.0,38.0,,,,,2023,T20,2023_04_09,Ahmedabad,Gujarat Titans_v_Kolkata Knight Riders,Gujarat Titans
1,DA Miller,13,2.0,0.0,0.0,0.0,3.0,,,,,2023,T20,2023_04_09,Ahmedabad,Gujarat Titans_v_Kolkata Knight Riders,Gujarat Titans
1,Shubman Gill,13,39.0,5.0,0.0,1.0,31.0,,,,,2023,T20,2023_04_09,Ahmedabad,Gujarat Titans_v_Kolkata Knight Riders,Gujarat Titans
1,V Shankar,13,63.0,4.0,5.0,0.0,23.0,,,,,2023,T20,2023_04_09,Ahmedabad,Gujarat Titans_v_Kolkata Knight Riders,Gujarat Titans
1,WP Saha,13,17.0,3.0,0.0,1.0,17.0,,,,,2023,T20,2023_04_09,Ahmedabad,Gujarat Titans_v_Kolkata Knight Riders,Gujarat Titans
2,AD Russell,13,1.0,0.0,0.0,1.0,2.0,,,,,2023,T20,2023_04_09,Ahmedabad,Gujarat Titans_v_Kolkata Knight Riders,Kolkata Knight Riders
2,LH Ferguson,13,,,,,,1.0,38.0,24.0,0.0,2023,T20,2023_04_09,Ahmedabad,Gujarat Titans_v_Kolkata Knight Riders,Kolkata Knight Riders
2,CV Varun,13,,,,,,1.0,22.0,12.0,0.0,2023,T20,2023_04_09,Ahmedabad,Gujarat Titans_v_Kolkata Knight Riders,Kolkata Knight Riders
2,VR Iyer,13,83.0,8.0,5.0,1.0,40.0,,,,,2023,T20,2023_04_09,Ahmedabad,Gujarat Titans_v_Kolkata Knight Riders,Kolkata Knight Riders
2,SP Narine,13,0.0,0.0,0.0,1.0,1.0,1.0,32.0,24.0,3.0,2023,T20,2023_04_09,Ahmedabad,Gujarat Titans_v_Kolkata Knight Riders,Kolkata Knight Riders
2,Suyash Sharma,13,,,,,,1.0,34.0,24.0,1.0,2023,T20,2023_04_09,Ahmedabad,Gujarat Titans_v_Kolkata Knight Riders,Kolkata Knight Riders
2,Rahmanullah Gurbaz,13,15.0,1.0,1.0,1.0,12.0,,,,,2023,T20,2023_04_09,Ahmedabad,Gujarat Titans_v_Kolkata Knight Riders,Kolkata Knight Riders
2,RK Singh,13,48.0,1.0,6.0,0.0,21.0,,,,,2023,T20,2023_04_09,Ahmedabad,Gujarat Titans_v_Kolkata Knight Riders,Kolkata Knight Riders
2,N Rana,13,45.0,4.0,3.0,1.0,29.0,,,,,2023,T20,2023_04_09,Ahmedabad,Gujarat Titans_v_Kolkata Knight Riders,Kolkata Knight Riders
2,N Jagadeesan,13,6.0,1.0,0.0,1.0,8.0,,,,,2023,T20,2023_04_09,Ahmedabad,Gujarat Titans_v_Kolkata Knight Riders,Kolkata Knight Riders
2,UT Yadav,13,5.0,0.0,0.0,0.0,6.0,1.0,23.0,18.0,0.0,2023,T20,2023_04_09,Ahmedabad,Gujarat Titans_v_Kolkata Knight Riders,Kolkata Knight Riders
2,SN Thakur,13,0.0,0.0,0.0,1.0,1.0,1.0,39.0,18.0,0.0,2023,T20,2023_04_09,Ahmedabad,Gujarat Titans_v_Kolkata Knight Riders,Kolkata Knight Riders
