bat_tm_inn1,bow_tm_inn1,inn_bat,name,rs,four,six,out,bowf,bow_tm_inn2,bat_tm_inn2,inn_bow,rc,balb,wkt,season,type,date,city,teams
Gujarat Titans,Kolkata Knight Riders,1,A Manohar,14.0,3.0,0.0,1.0,8.0,,,,,,,2023,T20,2023_04_09,Ahmedabad,Gujarat Titans_v_Kolkata Knight Riders
,,1,Rashid Khan,,,,,,Gujarat Titans,Kolkata Knight Riders,2.0,37.0,24.0,3.0,2023,T20,2023_04_09,Ahmedabad,Gujarat Titans_v_Kolkata Knight Riders
,,1,Mohammed Shami,,,,,,Gujarat Titans,Kolkata Knight Riders,2.0,28.0,24.0,1.0,2023,T20,2023_04_09,Ahmedabad,Gujarat Titans_v_Kolkata Knight Riders
,,1,J Little,,,,,,Gujarat Titans,Kolkata Knight Riders,2.0,42.0,24.0,1.0,2023,T20,2023_04_09,Ahmedabad,Gujarat Titans_v_Kolkata Knight Riders
,,1,AS Joseph,,,,,,Gujarat Titans,Kolkata Knight Riders,2.0,27.0,24.0,2.0,2023,T20,2023_04_09,Ahmedabad,Gujarat Titans_v_Kolkata Knight Riders
,,1,Yash Dayal,,,,,,Gujarat Titans,Kolkata Knight Riders,2.0,69.0,24.0,0.0,2023,T20,2023_04_09,Ahmedabad,Gujarat Titans_v_Kolkata Knight Riders
Gujarat Titans,Kolkata Knight Riders,1,B Sai Sudharsan,53.0,3.0,2.0,1.0,38.0,,,,,,,2023,T20,2023_04_09,Ahmedabad,Gujarat Titans_v_Kolkata Knight Riders
Gujarat Titans,Kolkata Knight Riders,1,DA Miller,2.0,0.0,0.0,0.0,3.0,,,,,,,2023,T20,2023_04_09,Ahmedabad,Gujarat Titans_v_Kolkata Knight Riders
Gujarat Titans,Kolkata Knight Riders,1,Shubman Gill,39.0,5.0,0.0,1.0,31.0,,,,,,,2023,T20,2023_04_09,Ahmedabad,Gujarat Titans_v_Kolkata Knight Riders
Gujarat Titans,Kolkata Knight Riders,1,V Shankar,63.0,4.0,5.0,0.0,23.0,,,,,,,2023,T20,2023_04_09,Ahmedabad,Gujarat Titans_v_Kolkata Knight Riders
Gujarat Titans,Kolkata Knight Riders,1,WP Saha,17.0,3.0,0.0,1.0,17.0,,,,,,,2023,T20,2023_04_09,Ahmedabad,Gujarat Titans_v_Kolkata Knight Riders
Kolkata Knight Riders,Gujarat Titans,2,AD Russell,1.0,0.0,0.0,1.0,2.0,,,,,,,2023,T20,2023_04_09,Ahmedabad,Gujarat Titans_v_Kolkata Knight Riders
,,2,LH Ferguson,,,,,,Kolkata Knight Riders,Gujarat Titans,1.0,38.0,24.0,0.0,2023,T20,2023_04_09,Ahmedabad,Gujarat Titans_v_Kolkata Knight Riders
,,2,CV Varun,,,,,,Kolkata Knight Riders,Gujarat Titans,1.0,22.0,12.0,0.0,2023,T20,2023_04_09,Ahmedabad,Gujarat Titans_v_Kolkata Knight Riders
Kolkata Knight Riders,Gujarat Titans,2,VR Iyer,83.0,8.0,5.0,1.0,40.0,,,,,,,2023,T20,2023_04_09,Ahmedabad,Gujarat Titans_v_Kolkata Knight Riders
Kolkata Knight Riders,Gujarat Titans,2,SP Narine,0.0,0.0,0.0,1.0,1.0,Kolkata Knight Riders,Gujarat Titans,1.0,32.0,24.0,3.0,2023,T20,2023_04_09,Ahmedabad,Gujarat Titans_v_Kolkata Knight Riders
,,2,Suyash Sharma,,,,,,Kolkata Knight Riders,Gujarat Titans,1.0,34.0,24.0,1.0,2023,T20,2023_04_09,Ahmedabad,Gujarat Titans_v_Kolkata Knight Riders
Kolkata Knight Riders,Gujarat Titans,2,Rahmanullah Gurbaz,15.0,1.0,1.0,1.0,12.0,,,,,,,2023,T20,2023_04_09,Ahmedabad,Gujarat Titans_v_Kolkata Knight Riders
Kolkata Knight Riders,Gujarat Titans,2,RK Singh,48.0,1.0,6.0,0.0,21.0,,,,,,,2023,T20,2023_04_09,Ahmedabad,Gujarat Titans_v_Kolkata Knight Riders
Kolkata Knight Riders,Gujarat Titans,2,N Rana,45.0,4.0,3.0,1.0,29.0,,,,,,,2023,T20,2023_04_09,Ahmedabad,Gujarat Titans_v_Kolkata Knight Riders
Kolkata Knight Riders,Gujarat Titans,2,N Jagadeesan,6.0,1.0,0.0,1.0,8.0,,,,,,,2023,T20,2023_04_09,Ahmedabad,Gujarat Titans_v_Kolkata Knight Riders
Kolkata Knight Riders,Gujarat Titans,2,UT Yadav,5.0,0.0,0.0,0.0,6.0,Kolkata Knight Riders,Gujarat Titans,1.0,23.0,18.0,0.0,2023,T20,2023_04_09,Ahmedabad,Gujarat Titans_v_Kolkata Knight Riders
Kolkata Knight Riders,Gujarat Titans,2,SN Thakur,0.0,0.0,0.0,1.0,1.0,Kolkata Knight Riders,Gujarat Titans,1.0,39.0,18.0,0.0,2023,T20,2023_04_09,Ahmedabad,Gujarat Titans_v_Kolkata Knight Riders
