inn_bat,name,mnum,rs,four,six,out,bowf,inn_bow,rc,balb,wkt,season,type,date,city,teams,team_nm
1,Harpreet Brar,14,1.0,0.0,0.0,1.0,2.0,2.0,26.0,19.0,0.0,2023,T20,2023_04_09,Hyderabad,Punjab Kings_v_Sunrisers Hyderabad,Punjab Kings
1,Arshdeep Singh,14,,,,,,2.0,20.0,18.0,1.0,2023,T20,2023_04_09,Hyderabad,Punjab Kings_v_Sunrisers Hyderabad,Punjab Kings
1,SM Curran,14,22.0,3.0,1.0,1.0,15.0,2.0,14.0,18.0,0.0,2023,T20,2023_04_09,Hyderabad,Punjab Kings_v_Sunrisers Hyderabad,Punjab Kings
1,S Dhawan,14,99.0,12.0,5.0,0.0,66.0,,,,,2023,T20,2023_04_09,Hyderabad,Punjab Kings_v_Sunrisers Hyderabad,Punjab Kings
1,RD Chahar,14,0.0,0.0,0.0,1.0,8.0,2.0,28.0,18.0,1.0,2023,T20,2023_04_09,Hyderabad,Punjab Kings_v_Sunrisers Hyderabad,Punjab Kings
1,P Simran Singh,14,0.0,0.0,0.0,1.0,1.0,,,,,2023,T20,2023_04_09,Hyderabad,Punjab Kings_v_Sunrisers Hyderabad,Punjab Kings
1,Sikandar Raza,14,5.0,0.0,0.0,1.0,6.0,,,,,2023,T20,2023_04_09,Hyderabad,Punjab Kings_v_Sunrisers Hyderabad,Punjab Kings
1,Mohit Rathee,14,1.0,0.0,0.0,0.0,2.0,2.0,29.0,12.0,0.0,2023,T20,2023_04_09,Hyderabad,Punjab Kings_v_Sunrisers Hyderabad,Punjab Kings
1,MW Short,14,1.0,0.0,0.0,1.0,3.0,,,,,2023,T20,2023_04_09,Hyderabad,Punjab Kings_v_Sunrisers Hyderabad,Punjab Kings
1,M Shahrukh Khan,14,4.0,1.0,0.0,1.0,3.0,,,,,2023,T20,2023_04_09,Hyderabad,Punjab Kings_v_Sunrisers Hyderabad,Punjab Kings
1,JM Sharma,14,4.0,1.0,0.0,1.0,9.0,,,,,2023,T20,2023_04_09,Hyderabad,Punjab Kings_v_Sunrisers Hyderabad,Punjab Kings
1,NT Ellis,14,0.0,0.0,0.0,1.0,5.0,2.0,28.0,18.0,0.0,2023,T20,2023_04_09,Hyderabad,Punjab Kings_v_Sunrisers Hyderabad,Punjab Kings
2,Umran Malik,14,,,,,,1.0,31.0,24.0,2.0,2023,T20,2023_04_09,Hyderabad,Punjab Kings_v_Sunrisers Hyderabad,Sunrisers Hyderabad
2,AK Markram,14,37.0,6.0,0.0,0.0,21.0,,,,,2023,T20,2023_04_09,Hyderabad,Punjab Kings_v_Sunrisers Hyderabad,Sunrisers Hyderabad
2,HC Brook,14,13.0,3.0,0.0,1.0,14.0,,,,,2023,T20,2023_04_09,Hyderabad,Punjab Kings_v_Sunrisers Hyderabad,Sunrisers Hyderabad
2,MA Agarwal,14,21.0,3.0,0.0,1.0,20.0,,,,,2023,T20,2023_04_09,Hyderabad,Punjab Kings_v_Sunrisers Hyderabad,Sunrisers Hyderabad
2,RA Tripathi,14,74.0,10.0,3.0,0.0,48.0,,,,,2023,T20,2023_04_09,Hyderabad,Punjab Kings_v_Sunrisers Hyderabad,Sunrisers Hyderabad
2,B Kumar,14,,,,,,1.0,30.0,24.0,1.0,2023,T20,2023_04_09,Hyderabad,Punjab Kings_v_Sunrisers Hyderabad,Sunrisers Hyderabad
2,M Jansen,14,,,,,,1.0,15.0,18.0,2.0,2023,T20,2023_04_09,Hyderabad,Punjab Kings_v_Sunrisers Hyderabad,Sunrisers Hyderabad
2,M Markande,14,,,,,,1.0,15.0,24.0,4.0,2023,T20,2023_04_09,Hyderabad,Punjab Kings_v_Sunrisers Hyderabad,Sunrisers Hyderabad
2,T Natarajan,14,,,,,,1.0,40.0,24.0,0.0,2023,T20,2023_04_09,Hyderabad,Punjab Kings_v_Sunrisers Hyderabad,Sunrisers Hyderabad
2,Washington Sundar,14,,,,,,1.0,6.0,6.0,0.0,2023,T20,2023_04_09,Hyderabad,Punjab Kings_v_Sunrisers Hyderabad,Sunrisers Hyderabad
