bat_tm_inn1,bow_tm_inn1,inn_bat,name,rs,four,six,out,bowf,bow_tm_inn2,bat_tm_inn2,inn_bow,rc,balb,wkt,season,type,date,city,teams
Punjab Kings,Sunrisers Hyderabad,1,Harpreet Brar,1.0,0.0,0.0,1.0,2.0,Punjab Kings,Sunrisers Hyderabad,2.0,26.0,19.0,0.0,2023,T20,2023_04_09,Hyderabad,Punjab Kings_v_Sunrisers Hyderabad
,,1,Arshdeep Singh,,,,,,Punjab Kings,Sunrisers Hyderabad,2.0,20.0,18.0,1.0,2023,T20,2023_04_09,Hyderabad,Punjab Kings_v_Sunrisers Hyderabad
Punjab Kings,Sunrisers Hyderabad,1,SM Curran,22.0,3.0,1.0,1.0,15.0,Punjab Kings,Sunrisers Hyderabad,2.0,14.0,18.0,0.0,2023,T20,2023_04_09,Hyderabad,Punjab Kings_v_Sunrisers Hyderabad
Punjab Kings,Sunrisers Hyderabad,1,S Dhawan,99.0,12.0,5.0,0.0,66.0,,,,,,,2023,T20,2023_04_09,Hyderabad,Punjab Kings_v_Sunrisers Hyderabad
Punjab Kings,Sunrisers Hyderabad,1,RD Chahar,0.0,0.0,0.0,1.0,8.0,Punjab Kings,Sunrisers Hyderabad,2.0,28.0,18.0,1.0,2023,T20,2023_04_09,Hyderabad,Punjab Kings_v_Sunrisers Hyderabad
Punjab Kings,Sunrisers Hyderabad,1,P Simran Singh,0.0,0.0,0.0,1.0,1.0,,,,,,,2023,T20,2023_04_09,Hyderabad,Punjab Kings_v_Sunrisers Hyderabad
Punjab Kings,Sunrisers Hyderabad,1,Sikandar Raza,5.0,0.0,0.0,1.0,6.0,,,,,,,2023,T20,2023_04_09,Hyderabad,Punjab Kings_v_Sunrisers Hyderabad
Punjab Kings,Sunrisers Hyderabad,1,Mohit Rathee,1.0,0.0,0.0,0.0,2.0,Punjab Kings,Sunrisers Hyderabad,2.0,29.0,12.0,0.0,2023,T20,2023_04_09,Hyderabad,Punjab Kings_v_Sunrisers Hyderabad
Punjab Kings,Sunrisers Hyderabad,1,MW Short,1.0,0.0,0.0,1.0,3.0,,,,,,,2023,T20,2023_04_09,Hyderabad,Punjab Kings_v_Sunrisers Hyderabad
Punjab Kings,Sunrisers Hyderabad,1,M Shahrukh Khan,4.0,1.0,0.0,1.0,3.0,,,,,,,2023,T20,2023_04_09,Hyderabad,Punjab Kings_v_Sunrisers Hyderabad
Punjab Kings,Sunrisers Hyderabad,1,JM Sharma,4.0,1.0,0.0,1.0,9.0,,,,,,,2023,T20,2023_04_09,Hyderabad,Punjab Kings_v_Sunrisers Hyderabad
Punjab Kings,Sunrisers Hyderabad,1,NT Ellis,0.0,0.0,0.0,1.0,5.0,Punjab Kings,Sunrisers Hyderabad,2.0,28.0,18.0,0.0,2023,T20,2023_04_09,Hyderabad,Punjab Kings_v_Sunrisers Hyderabad
,,2,Umran Malik,,,,,,Sunrisers Hyderabad,Punjab Kings,1.0,31.0,24.0,2.0,2023,T20,2023_04_09,Hyderabad,Punjab Kings_v_Sunrisers Hyderabad
Sunrisers Hyderabad,Punjab Kings,2,AK Markram,37.0,6.0,0.0,0.0,21.0,,,,,,,2023,T20,2023_04_09,Hyderabad,Punjab Kings_v_Sunrisers Hyderabad
Sunrisers Hyderabad,Punjab Kings,2,HC Brook,13.0,3.0,0.0,1.0,14.0,,,,,,,2023,T20,2023_04_09,Hyderabad,Punjab Kings_v_Sunrisers Hyderabad
Sunrisers Hyderabad,Punjab Kings,2,MA Agarwal,21.0,3.0,0.0,1.0,20.0,,,,,,,2023,T20,2023_04_09,Hyderabad,Punjab Kings_v_Sunrisers Hyderabad
Sunrisers Hyderabad,Punjab Kings,2,RA Tripathi,74.0,10.0,3.0,0.0,48.0,,,,,,,2023,T20,2023_04_09,Hyderabad,Punjab Kings_v_Sunrisers Hyderabad
,,2,B Kumar,,,,,,Sunrisers Hyderabad,Punjab Kings,1.0,30.0,24.0,1.0,2023,T20,2023_04_09,Hyderabad,Punjab Kings_v_Sunrisers Hyderabad
,,2,M Jansen,,,,,,Sunrisers Hyderabad,Punjab Kings,1.0,15.0,18.0,2.0,2023,T20,2023_04_09,Hyderabad,Punjab Kings_v_Sunrisers Hyderabad
,,2,M Markande,,,,,,Sunrisers Hyderabad,Punjab Kings,1.0,15.0,24.0,4.0,2023,T20,2023_04_09,Hyderabad,Punjab Kings_v_Sunrisers Hyderabad
,,2,T Natarajan,,,,,,Sunrisers Hyderabad,Punjab Kings,1.0,40.0,24.0,0.0,2023,T20,2023_04_09,Hyderabad,Punjab Kings_v_Sunrisers Hyderabad
,,2,Washington Sundar,,,,,,Sunrisers Hyderabad,Punjab Kings,1.0,6.0,6.0,0.0,2023,T20,2023_04_09,Hyderabad,Punjab Kings_v_Sunrisers Hyderabad
