inn_bat,name,mnum,rs,four,six,out,bowf,inn_bow,rc,balb,wkt,season,type,date,city,teams,team_nm
1,WD Parnell,15,,,,,,2.0,38.0,24.0,3.0,2023,T20,2023_04_10,Bengaluru,Royal Challengers Bangalore_v_Lucknow Super Giants,Royal Challengers Bangalore
1,Mohammed Siraj,15,,,,,,2.0,18.0,24.0,3.0,2023,T20,2023_04_10,Bengaluru,Royal Challengers Bangalore_v_Lucknow Super Giants,Royal Challengers Bangalore
1,KV Sharma,15,,,,,,2.0,47.0,18.0,1.0,2023,T20,2023_04_10,Bengaluru,Royal Challengers Bangalore_v_Lucknow Super Giants,Royal Challengers Bangalore
1,HV Patel,15,,,,,,2.0,48.0,24.0,2.0,2023,T20,2023_04_10,Bengaluru,Royal Challengers Bangalore_v_Lucknow Super Giants,Royal Challengers Bangalore
1,DJ Willey,15,,,,,,2.0,31.0,24.0,0.0,2023,T20,2023_04_10,Bengaluru,Royal Challengers Bangalore_v_Lucknow Super Giants,Royal Challengers Bangalore
1,V Kohli,15,61.0,4.0,4.0,1.0,44.0,,,,,2023,T20,2023_04_10,Bengaluru,Royal Challengers Bangalore_v_Lucknow Super Giants,Royal Challengers Bangalore
1,KD Karthik,15,1.0,0.0,0.0,0.0,1.0,,,,,2023,T20,2023_04_10,Bengaluru,Royal Challengers Bangalore_v_Lucknow Super Giants,Royal Challengers Bangalore
1,GJ Maxwell,15,59.0,3.0,6.0,1.0,29.0,,,,,2023,T20,2023_04_10,Bengaluru,Royal Challengers Bangalore_v_Lucknow Super Giants,Royal Challengers Bangalore
1,F du Plessis,15,79.0,5.0,5.0,0.0,46.0,,,,,2023,T20,2023_04_10,Bengaluru,Royal Challengers Bangalore_v_Lucknow Super Giants,Royal Challengers Bangalore
1,Shahbaz Ahmed,15,,,,,,2.0,15.0,6.0,0.0,2023,T20,2023_04_10,Bengaluru,Royal Challengers Bangalore_v_Lucknow Super Giants,Royal Challengers Bangalore
2,A Mishra,15,,,,,,1.0,18.0,12.0,1.0,2023,T20,2023_04_10,Bengaluru,Royal Challengers Bangalore_v_Lucknow Super Giants,Lucknow Super Giants
2,A Badoni,15,30.0,4.0,0.0,1.0,24.0,,,,,2023,T20,2023_04_10,Bengaluru,Royal Challengers Bangalore_v_Lucknow Super Giants,Lucknow Super Giants
2,MP Stoinis,15,65.0,6.0,5.0,1.0,30.0,,,,,2023,T20,2023_04_10,Bengaluru,Royal Challengers Bangalore_v_Lucknow Super Giants,Lucknow Super Giants
2,MA Wood,15,1.0,0.0,0.0,1.0,2.0,1.0,30.0,24.0,1.0,2023,T20,2023_04_10,Bengaluru,Royal Challengers Bangalore_v_Lucknow Super Giants,Lucknow Super Giants
2,KR Mayers,15,0.0,0.0,0.0,1.0,3.0,,,,,2023,T20,2023_04_10,Bengaluru,Royal Challengers Bangalore_v_Lucknow Super Giants,Lucknow Super Giants
2,KL Rahul,15,18.0,1.0,0.0,1.0,20.0,,,,,2023,T20,2023_04_10,Bengaluru,Royal Challengers Bangalore_v_Lucknow Super Giants,Lucknow Super Giants
2,KH Pandya,15,0.0,0.0,0.0,1.0,2.0,1.0,35.0,24.0,0.0,2023,T20,2023_04_10,Bengaluru,Royal Challengers Bangalore_v_Lucknow Super Giants,Lucknow Super Giants
2,JD Unadkat,15,9.0,1.0,0.0,1.0,7.0,1.0,26.0,12.0,0.0,2023,T20,2023_04_10,Bengaluru,Royal Challengers Bangalore_v_Lucknow Super Giants,Lucknow Super Giants
2,DJ Hooda,15,9.0,1.0,0.0,1.0,10.0,,,,,2023,T20,2023_04_10,Bengaluru,Royal Challengers Bangalore_v_Lucknow Super Giants,Lucknow Super Giants
2,Avesh Khan,15,0.0,0.0,0.0,0.0,1.0,1.0,53.0,24.0,0.0,2023,T20,2023_04_10,Bengaluru,Royal Challengers Bangalore_v_Lucknow Super Giants,Lucknow Super Giants
2,N Pooran,15,62.0,4.0,7.0,1.0,19.0,,,,,2023,T20,2023_04_10,Bengaluru,Royal Challengers Bangalore_v_Lucknow Super Giants,Lucknow Super Giants
2,Ravi Bishnoi,15,3.0,0.0,0.0,0.0,2.0,1.0,38.0,24.0,0.0,2023,T20,2023_04_10,Bengaluru,Royal Challengers Bangalore_v_Lucknow Super Giants,Lucknow Super Giants
