bat_tm_inn1,bow_tm_inn1,inn_bat,name,rs,four,six,out,bowf,bow_tm_inn2,bat_tm_inn2,inn_bow,rc,balb,wkt,season,type,date,city,teams
,,1,WD Parnell,,,,,,Royal Challengers Bangalore,Lucknow Super Giants,2.0,38.0,24.0,3.0,2023,T20,2023_04_10,Bengaluru,Royal Challengers Bangalore_v_Lucknow Super Giants
,,1,Mohammed Siraj,,,,,,Royal Challengers Bangalore,Lucknow Super Giants,2.0,18.0,24.0,3.0,2023,T20,2023_04_10,Bengaluru,Royal Challengers Bangalore_v_Lucknow Super Giants
,,1,KV Sharma,,,,,,Royal Challengers Bangalore,Lucknow Super Giants,2.0,47.0,18.0,1.0,2023,T20,2023_04_10,Bengaluru,Royal Challengers Bangalore_v_Lucknow Super Giants
,,1,HV Patel,,,,,,Royal Challengers Bangalore,Lucknow Super Giants,2.0,48.0,24.0,2.0,2023,T20,2023_04_10,Bengaluru,Royal Challengers Bangalore_v_Lucknow Super Giants
,,1,DJ Willey,,,,,,Royal Challengers Bangalore,Lucknow Super Giants,2.0,31.0,24.0,0.0,2023,T20,2023_04_10,Bengaluru,Royal Challengers Bangalore_v_Lucknow Super Giants
Royal Challengers Bangalore,Lucknow Super Giants,1,V Kohli,61.0,4.0,4.0,1.0,44.0,,,,,,,2023,T20,2023_04_10,Bengaluru,Royal Challengers Bangalore_v_Lucknow Super Giants
Royal Challengers Bangalore,Lucknow Super Giants,1,KD Karthik,1.0,0.0,0.0,0.0,1.0,,,,,,,2023,T20,2023_04_10,Bengaluru,Royal Challengers Bangalore_v_Lucknow Super Giants
Royal Challengers Bangalore,Lucknow Super Giants,1,GJ Maxwell,59.0,3.0,6.0,1.0,29.0,,,,,,,2023,T20,2023_04_10,Bengaluru,Royal Challengers Bangalore_v_Lucknow Super Giants
Royal Challengers Bangalore,Lucknow Super Giants,1,F du Plessis,79.0,5.0,5.0,0.0,46.0,,,,,,,2023,T20,2023_04_10,Bengaluru,Royal Challengers Bangalore_v_Lucknow Super Giants
,,1,Shahbaz Ahmed,,,,,,Royal Challengers Bangalore,Lucknow Super Giants,2.0,15.0,6.0,0.0,2023,T20,2023_04_10,Bengaluru,Royal Challengers Bangalore_v_Lucknow Super Giants
,,2,A Mishra,,,,,,Lucknow Super Giants,Royal Challengers Bangalore,1.0,18.0,12.0,1.0,2023,T20,2023_04_10,Bengaluru,Royal Challengers Bangalore_v_Lucknow Super Giants
Lucknow Super Giants,Royal Challengers Bangalore,2,A Badoni,30.0,4.0,0.0,1.0,24.0,,,,,,,2023,T20,2023_04_10,Bengaluru,Royal Challengers Bangalore_v_Lucknow Super Giants
Lucknow Super Giants,Royal Challengers Bangalore,2,MP Stoinis,65.0,6.0,5.0,1.0,30.0,,,,,,,2023,T20,2023_04_10,Bengaluru,Royal Challengers Bangalore_v_Lucknow Super Giants
Lucknow Super Giants,Royal Challengers Bangalore,2,MA Wood,1.0,0.0,0.0,1.0,2.0,Lucknow Super Giants,Royal Challengers Bangalore,1.0,30.0,24.0,1.0,2023,T20,2023_04_10,Bengaluru,Royal Challengers Bangalore_v_Lucknow Super Giants
Lucknow Super Giants,Royal Challengers Bangalore,2,KR Mayers,0.0,0.0,0.0,1.0,3.0,,,,,,,2023,T20,2023_04_10,Bengaluru,Royal Challengers Bangalore_v_Lucknow Super Giants
Lucknow Super Giants,Royal Challengers Bangalore,2,KL Rahul,18.0,1.0,0.0,1.0,20.0,,,,,,,2023,T20,2023_04_10,Bengaluru,Royal Challengers Bangalore_v_Lucknow Super Giants
Lucknow Super Giants,Royal Challengers Bangalore,2,KH Pandya,0.0,0.0,0.0,1.0,2.0,Lucknow Super Giants,Royal Challengers Bangalore,1.0,35.0,24.0,0.0,2023,T20,2023_04_10,Bengaluru,Royal Challengers Bangalore_v_Lucknow Super Giants
Lucknow Super Giants,Royal Challengers Bangalore,2,JD Unadkat,9.0,1.0,0.0,1.0,7.0,Lucknow Super Giants,Royal Challengers Bangalore,1.0,26.0,12.0,0.0,2023,T20,2023_04_10,Bengaluru,Royal Challengers Bangalore_v_Lucknow Super Giants
Lucknow Super Giants,Royal Challengers Bangalore,2,DJ Hooda,9.0,1.0,0.0,1.0,10.0,,,,,,,2023,T20,2023_04_10,Bengaluru,Royal Challengers Bangalore_v_Lucknow Super Giants
Lucknow Super Giants,Royal Challengers Bangalore,2,Avesh Khan,0.0,0.0,0.0,0.0,1.0,Lucknow Super Giants,Royal Challengers Bangalore,1.0,53.0,24.0,0.0,2023,T20,2023_04_10,Bengaluru,Royal Challengers Bangalore_v_Lucknow Super Giants
Lucknow Super Giants,Royal Challengers Bangalore,2,N Pooran,62.0,4.0,7.0,1.0,19.0,,,,,,,2023,T20,2023_04_10,Bengaluru,Royal Challengers Bangalore_v_Lucknow Super Giants
Lucknow Super Giants,Royal Challengers Bangalore,2,Ravi Bishnoi,3.0,0.0,0.0,0.0,2.0,Lucknow Super Giants,Royal Challengers Bangalore,1.0,38.0,24.0,0.0,2023,T20,2023_04_10,Bengaluru,Royal Challengers Bangalore_v_Lucknow Super Giants
