inn_bat,name,mnum,rs,four,six,out,bowf,inn_bow,rc,balb,wkt,season,type,date,city,teams,team_nm
1,A Nortje,16,5.0,1.0,0.0,1.0,3.0,2.0,35.0,24.0,0.0,2023,T20,2023_04_11,Delhi,Delhi Capitals_v_Mumbai Indians,Delhi Capitals
1,AR Patel,16,54.0,4.0,5.0,1.0,24.0,2.0,19.0,24.0,0.0,2023,T20,2023_04_11,Delhi,Delhi Capitals_v_Mumbai Indians,Delhi Capitals
1,Abishek Porel,16,1.0,0.0,0.0,1.0,3.0,,,,,2023,T20,2023_04_11,Delhi,Delhi Capitals_v_Mumbai Indians,Delhi Capitals
1,DA Warner,16,51.0,6.0,0.0,1.0,47.0,,,,,2023,T20,2023_04_11,Delhi,Delhi Capitals_v_Mumbai Indians,Delhi Capitals
1,Kuldeep Yadav,16,0.0,0.0,0.0,1.0,1.0,2.0,23.0,12.0,0.0,2023,T20,2023_04_11,Delhi,Delhi Capitals_v_Mumbai Indians,Delhi Capitals
1,Lalit Yadav,16,2.0,0.0,0.0,1.0,4.0,2.0,22.0,24.0,1.0,2023,T20,2023_04_11,Delhi,Delhi Capitals_v_Mumbai Indians,Delhi Capitals
1,MK Pandey,16,26.0,5.0,0.0,1.0,17.0,,,,,2023,T20,2023_04_11,Delhi,Delhi Capitals_v_Mumbai Indians,Delhi Capitals
1,Mustafizur Rahman,16,1.0,0.0,0.0,0.0,1.0,2.0,38.0,24.0,1.0,2023,T20,2023_04_11,Delhi,Delhi Capitals_v_Mumbai Indians,Delhi Capitals
1,PP Shaw,16,15.0,3.0,0.0,1.0,10.0,,,,,2023,T20,2023_04_11,Delhi,Delhi Capitals_v_Mumbai Indians,Delhi Capitals
1,R Powell,16,4.0,1.0,0.0,1.0,4.0,,,,,2023,T20,2023_04_11,Delhi,Delhi Capitals_v_Mumbai Indians,Delhi Capitals
1,YV Dhull,16,2.0,0.0,0.0,1.0,4.0,,,,,2023,T20,2023_04_11,Delhi,Delhi Capitals_v_Mumbai Indians,Delhi Capitals
1,Mukesh Kumar,16,,,,,,2.0,30.0,12.0,2.0,2023,T20,2023_04_11,Delhi,Delhi Capitals_v_Mumbai Indians,Delhi Capitals
2,JP Behrendorff,16,,,,,,1.0,23.0,18.0,4.0,2023,T20,2023_04_11,Delhi,Delhi Capitals_v_Mumbai Indians,Mumbai Indians
2,HR Shokeen,16,,,,,,1.0,37.0,24.0,1.0,2023,T20,2023_04_11,Delhi,Delhi Capitals_v_Mumbai Indians,Mumbai Indians
2,Arshad Khan,16,,,,,,1.0,11.0,6.0,0.0,2023,T20,2023_04_11,Delhi,Delhi Capitals_v_Mumbai Indians,Mumbai Indians
2,Tilak Varma,16,41.0,1.0,4.0,1.0,29.0,1.0,6.0,6.0,0.0,2023,T20,2023_04_11,Delhi,Delhi Capitals_v_Mumbai Indians,Mumbai Indians
2,C Green,16,17.0,1.0,1.0,0.0,8.0,1.0,29.0,18.0,0.0,2023,T20,2023_04_11,Delhi,Delhi Capitals_v_Mumbai Indians,Mumbai Indians
2,SA Yadav,16,0.0,0.0,0.0,1.0,1.0,,,,,2023,T20,2023_04_11,Delhi,Delhi Capitals_v_Mumbai Indians,Mumbai Indians
2,RG Sharma,16,65.0,6.0,4.0,1.0,45.0,,,,,2023,T20,2023_04_11,Delhi,Delhi Capitals_v_Mumbai Indians,Mumbai Indians
2,Ishan Kishan,16,31.0,6.0,0.0,1.0,26.0,,,,,2023,T20,2023_04_11,Delhi,Delhi Capitals_v_Mumbai Indians,Mumbai Indians
2,PP Chawla,16,,,,,,1.0,22.0,24.0,3.0,2023,T20,2023_04_11,Delhi,Delhi Capitals_v_Mumbai Indians,Mumbai Indians
2,TH David,16,13.0,0.0,1.0,0.0,11.0,,,,,2023,T20,2023_04_11,Delhi,Delhi Capitals_v_Mumbai Indians,Mumbai Indians
2,RP Meredith,16,,,,,,1.0,33.0,22.0,2.0,2023,T20,2023_04_11,Delhi,Delhi Capitals_v_Mumbai Indians,Mumbai Indians
