bat_tm_inn1,bow_tm_inn1,inn_bat,name,rs,four,six,out,bowf,bow_tm_inn2,bat_tm_inn2,inn_bow,rc,balb,wkt,season,type,date,city,teams
Delhi Capitals,Mumbai Indians,1,A Nortje,5.0,1.0,0.0,1.0,3.0,Delhi Capitals,Mumbai Indians,2.0,35.0,24.0,0.0,2023,T20,2023_04_11,Delhi,Delhi Capitals_v_Mumbai Indians
Delhi Capitals,Mumbai Indians,1,AR Patel,54.0,4.0,5.0,1.0,24.0,Delhi Capitals,Mumbai Indians,2.0,19.0,24.0,0.0,2023,T20,2023_04_11,Delhi,Delhi Capitals_v_Mumbai Indians
Delhi Capitals,Mumbai Indians,1,Abishek Porel,1.0,0.0,0.0,1.0,3.0,,,,,,,2023,T20,2023_04_11,Delhi,Delhi Capitals_v_Mumbai Indians
Delhi Capitals,Mumbai Indians,1,DA Warner,51.0,6.0,0.0,1.0,47.0,,,,,,,2023,T20,2023_04_11,Delhi,Delhi Capitals_v_Mumbai Indians
Delhi Capitals,Mumbai Indians,1,Kuldeep Yadav,0.0,0.0,0.0,1.0,1.0,Delhi Capitals,Mumbai Indians,2.0,23.0,12.0,0.0,2023,T20,2023_04_11,Delhi,Delhi Capitals_v_Mumbai Indians
Delhi Capitals,Mumbai Indians,1,Lalit Yadav,2.0,0.0,0.0,1.0,4.0,Delhi Capitals,Mumbai Indians,2.0,22.0,24.0,1.0,2023,T20,2023_04_11,Delhi,Delhi Capitals_v_Mumbai Indians
Delhi Capitals,Mumbai Indians,1,MK Pandey,26.0,5.0,0.0,1.0,17.0,,,,,,,2023,T20,2023_04_11,Delhi,Delhi Capitals_v_Mumbai Indians
Delhi Capitals,Mumbai Indians,1,Mustafizur Rahman,1.0,0.0,0.0,0.0,1.0,Delhi Capitals,Mumbai Indians,2.0,38.0,24.0,1.0,2023,T20,2023_04_11,Delhi,Delhi Capitals_v_Mumbai Indians
Delhi Capitals,Mumbai Indians,1,PP Shaw,15.0,3.0,0.0,1.0,10.0,,,,,,,2023,T20,2023_04_11,Delhi,Delhi Capitals_v_Mumbai Indians
Delhi Capitals,Mumbai Indians,1,R Powell,4.0,1.0,0.0,1.0,4.0,,,,,,,2023,T20,2023_04_11,Delhi,Delhi Capitals_v_Mumbai Indians
Delhi Capitals,Mumbai Indians,1,YV Dhull,2.0,0.0,0.0,1.0,4.0,,,,,,,2023,T20,2023_04_11,Delhi,Delhi Capitals_v_Mumbai Indians
,,1,Mukesh Kumar,,,,,,Delhi Capitals,Mumbai Indians,2.0,30.0,12.0,2.0,2023,T20,2023_04_11,Delhi,Delhi Capitals_v_Mumbai Indians
,,2,JP Behrendorff,,,,,,Mumbai Indians,Delhi Capitals,1.0,23.0,18.0,4.0,2023,T20,2023_04_11,Delhi,Delhi Capitals_v_Mumbai Indians
,,2,HR Shokeen,,,,,,Mumbai Indians,Delhi Capitals,1.0,37.0,24.0,1.0,2023,T20,2023_04_11,Delhi,Delhi Capitals_v_Mumbai Indians
,,2,Arshad Khan,,,,,,Mumbai Indians,Delhi Capitals,1.0,11.0,6.0,0.0,2023,T20,2023_04_11,Delhi,Delhi Capitals_v_Mumbai Indians
Mumbai Indians,Delhi Capitals,2,Tilak Varma,41.0,1.0,4.0,1.0,29.0,Mumbai Indians,Delhi Capitals,1.0,6.0,6.0,0.0,2023,T20,2023_04_11,Delhi,Delhi Capitals_v_Mumbai Indians
Mumbai Indians,Delhi Capitals,2,C Green,17.0,1.0,1.0,0.0,8.0,Mumbai Indians,Delhi Capitals,1.0,29.0,18.0,0.0,2023,T20,2023_04_11,Delhi,Delhi Capitals_v_Mumbai Indians
Mumbai Indians,Delhi Capitals,2,SA Yadav,0.0,0.0,0.0,1.0,1.0,,,,,,,2023,T20,2023_04_11,Delhi,Delhi Capitals_v_Mumbai Indians
Mumbai Indians,Delhi Capitals,2,RG Sharma,65.0,6.0,4.0,1.0,45.0,,,,,,,2023,T20,2023_04_11,Delhi,Delhi Capitals_v_Mumbai Indians
Mumbai Indians,Delhi Capitals,2,Ishan Kishan,31.0,6.0,0.0,1.0,26.0,,,,,,,2023,T20,2023_04_11,Delhi,Delhi Capitals_v_Mumbai Indians
,,2,PP Chawla,,,,,,Mumbai Indians,Delhi Capitals,1.0,22.0,24.0,3.0,2023,T20,2023_04_11,Delhi,Delhi Capitals_v_Mumbai Indians
Mumbai Indians,Delhi Capitals,2,TH David,13.0,0.0,1.0,0.0,11.0,,,,,,,2023,T20,2023_04_11,Delhi,Delhi Capitals_v_Mumbai Indians
,,2,RP Meredith,,,,,,Mumbai Indians,Delhi Capitals,1.0,33.0,22.0,2.0,2023,T20,2023_04_11,Delhi,Delhi Capitals_v_Mumbai Indians
