inn_bat,name,mnum,rs,four,six,out,bowf,inn_bow,rc,balb,wkt,season,type,date,city,teams,team_nm
1,PBB Rajapaksa,18,20.0,1.0,0.0,1.0,26.0,,,,,2023,T20,2023_04_13,Chandigarh,Punjab Kings_v_Gujarat Titans,Punjab Kings
1,K Rabada,18,,,,,,2.0,36.0,24.0,1.0,2023,T20,2023_04_13,Chandigarh,Punjab Kings_v_Gujarat Titans,Punjab Kings
1,Arshdeep Singh,18,,,,,,2.0,33.0,24.0,1.0,2023,T20,2023_04_13,Chandigarh,Punjab Kings_v_Gujarat Titans,Punjab Kings
1,Harpreet Brar,18,8.0,0.0,1.0,1.0,5.0,2.0,20.0,24.0,1.0,2023,T20,2023_04_13,Chandigarh,Punjab Kings_v_Gujarat Titans,Punjab Kings
1,JM Sharma,18,25.0,5.0,0.0,1.0,23.0,,,,,2023,T20,2023_04_13,Chandigarh,Punjab Kings_v_Gujarat Titans,Punjab Kings
1,M Shahrukh Khan,18,22.0,1.0,2.0,1.0,9.0,,,,,2023,T20,2023_04_13,Chandigarh,Punjab Kings_v_Gujarat Titans,Punjab Kings
1,MW Short,18,36.0,6.0,1.0,1.0,24.0,2.0,8.0,6.0,0.0,2023,T20,2023_04_13,Chandigarh,Punjab Kings_v_Gujarat Titans,Punjab Kings
1,P Simran Singh,18,0.0,0.0,0.0,1.0,2.0,,,,,2023,T20,2023_04_13,Chandigarh,Punjab Kings_v_Gujarat Titans,Punjab Kings
1,RD Chahar,18,,,,,,2.0,24.0,18.0,0.0,2023,T20,2023_04_13,Chandigarh,Punjab Kings_v_Gujarat Titans,Punjab Kings
1,R Dhawan,18,1.0,0.0,0.0,0.0,1.0,,,,,2023,T20,2023_04_13,Chandigarh,Punjab Kings_v_Gujarat Titans,Punjab Kings
1,S Dhawan,18,8.0,2.0,0.0,1.0,8.0,,,,,2023,T20,2023_04_13,Chandigarh,Punjab Kings_v_Gujarat Titans,Punjab Kings
1,SM Curran,18,22.0,1.0,1.0,1.0,22.0,2.0,25.0,23.0,1.0,2023,T20,2023_04_13,Chandigarh,Punjab Kings_v_Gujarat Titans,Punjab Kings
2,Mohammed Shami,18,,,,,,1.0,43.0,24.0,1.0,2023,T20,2023_04_13,Chandigarh,Punjab Kings_v_Gujarat Titans,Gujarat Titans
2,MM Sharma,18,,,,,,1.0,18.0,24.0,2.0,2023,T20,2023_04_13,Chandigarh,Punjab Kings_v_Gujarat Titans,Gujarat Titans
2,J Little,18,,,,,,1.0,28.0,24.0,3.0,2023,T20,2023_04_13,Chandigarh,Punjab Kings_v_Gujarat Titans,Gujarat Titans
2,B Sai Sudharsan,18,19.0,2.0,0.0,1.0,20.0,,,,,2023,T20,2023_04_13,Chandigarh,Punjab Kings_v_Gujarat Titans,Gujarat Titans
2,WP Saha,18,30.0,5.0,0.0,1.0,19.0,,,,,2023,T20,2023_04_13,Chandigarh,Punjab Kings_v_Gujarat Titans,Gujarat Titans
2,Shubman Gill,18,67.0,7.0,1.0,1.0,49.0,,,,,2023,T20,2023_04_13,Chandigarh,Punjab Kings_v_Gujarat Titans,Gujarat Titans
2,R Tewatia,18,5.0,1.0,0.0,0.0,2.0,,,,,2023,T20,2023_04_13,Chandigarh,Punjab Kings_v_Gujarat Titans,Gujarat Titans
2,HH Pandya,18,8.0,1.0,0.0,1.0,11.0,,,,,2023,T20,2023_04_13,Chandigarh,Punjab Kings_v_Gujarat Titans,Gujarat Titans
2,DA Miller,18,17.0,1.0,0.0,0.0,18.0,,,,,2023,T20,2023_04_13,Chandigarh,Punjab Kings_v_Gujarat Titans,Gujarat Titans
2,AS Joseph,18,,,,,,1.0,27.0,24.0,1.0,2023,T20,2023_04_13,Chandigarh,Punjab Kings_v_Gujarat Titans,Gujarat Titans
2,Rashid Khan,18,,,,,,1.0,26.0,24.0,1.0,2023,T20,2023_04_13,Chandigarh,Punjab Kings_v_Gujarat Titans,Gujarat Titans
