bat_tm_inn1,bow_tm_inn1,inn_bat,name,rs,four,six,out,bowf,bow_tm_inn2,bat_tm_inn2,inn_bow,rc,balb,wkt,season,type,date,city,teams
Punjab Kings,Gujarat Titans,1,PBB Rajapaksa,20.0,1.0,0.0,1.0,26.0,,,,,,,2023,T20,2023_04_13,Chandigarh,Punjab Kings_v_Gujarat Titans
,,1,K Rabada,,,,,,Punjab Kings,Gujarat Titans,2.0,36.0,24.0,1.0,2023,T20,2023_04_13,Chandigarh,Punjab Kings_v_Gujarat Titans
,,1,Arshdeep Singh,,,,,,Punjab Kings,Gujarat Titans,2.0,33.0,24.0,1.0,2023,T20,2023_04_13,Chandigarh,Punjab Kings_v_Gujarat Titans
Punjab Kings,Gujarat Titans,1,Harpreet Brar,8.0,0.0,1.0,1.0,5.0,Punjab Kings,Gujarat Titans,2.0,20.0,24.0,1.0,2023,T20,2023_04_13,Chandigarh,Punjab Kings_v_Gujarat Titans
Punjab Kings,Gujarat Titans,1,JM Sharma,25.0,5.0,0.0,1.0,23.0,,,,,,,2023,T20,2023_04_13,Chandigarh,Punjab Kings_v_Gujarat Titans
Punjab Kings,Gujarat Titans,1,M Shahrukh Khan,22.0,1.0,2.0,1.0,9.0,,,,,,,2023,T20,2023_04_13,Chandigarh,Punjab Kings_v_Gujarat Titans
Punjab Kings,Gujarat Titans,1,MW Short,36.0,6.0,1.0,1.0,24.0,Punjab Kings,Gujarat Titans,2.0,8.0,6.0,0.0,2023,T20,2023_04_13,Chandigarh,Punjab Kings_v_Gujarat Titans
Punjab Kings,Gujarat Titans,1,P Simran Singh,0.0,0.0,0.0,1.0,2.0,,,,,,,2023,T20,2023_04_13,Chandigarh,Punjab Kings_v_Gujarat Titans
,,1,RD Chahar,,,,,,Punjab Kings,Gujarat Titans,2.0,24.0,18.0,0.0,2023,T20,2023_04_13,Chandigarh,Punjab Kings_v_Gujarat Titans
Punjab Kings,Gujarat Titans,1,R Dhawan,1.0,0.0,0.0,0.0,1.0,,,,,,,2023,T20,2023_04_13,Chandigarh,Punjab Kings_v_Gujarat Titans
Punjab Kings,Gujarat Titans,1,S Dhawan,8.0,2.0,0.0,1.0,8.0,,,,,,,2023,T20,2023_04_13,Chandigarh,Punjab Kings_v_Gujarat Titans
Punjab Kings,Gujarat Titans,1,SM Curran,22.0,1.0,1.0,1.0,22.0,Punjab Kings,Gujarat Titans,2.0,25.0,23.0,1.0,2023,T20,2023_04_13,Chandigarh,Punjab Kings_v_Gujarat Titans
,,2,Mohammed Shami,,,,,,Gujarat Titans,Punjab Kings,1.0,43.0,24.0,1.0,2023,T20,2023_04_13,Chandigarh,Punjab Kings_v_Gujarat Titans
,,2,MM Sharma,,,,,,Gujarat Titans,Punjab Kings,1.0,18.0,24.0,2.0,2023,T20,2023_04_13,Chandigarh,Punjab Kings_v_Gujarat Titans
,,2,J Little,,,,,,Gujarat Titans,Punjab Kings,1.0,28.0,24.0,3.0,2023,T20,2023_04_13,Chandigarh,Punjab Kings_v_Gujarat Titans
Gujarat Titans,Punjab Kings,2,B Sai Sudharsan,19.0,2.0,0.0,1.0,20.0,,,,,,,2023,T20,2023_04_13,Chandigarh,Punjab Kings_v_Gujarat Titans
Gujarat Titans,Punjab Kings,2,WP Saha,30.0,5.0,0.0,1.0,19.0,,,,,,,2023,T20,2023_04_13,Chandigarh,Punjab Kings_v_Gujarat Titans
Gujarat Titans,Punjab Kings,2,Shubman Gill,67.0,7.0,1.0,1.0,49.0,,,,,,,2023,T20,2023_04_13,Chandigarh,Punjab Kings_v_Gujarat Titans
Gujarat Titans,Punjab Kings,2,R Tewatia,5.0,1.0,0.0,0.0,2.0,,,,,,,2023,T20,2023_04_13,Chandigarh,Punjab Kings_v_Gujarat Titans
Gujarat Titans,Punjab Kings,2,HH Pandya,8.0,1.0,0.0,1.0,11.0,,,,,,,2023,T20,2023_04_13,Chandigarh,Punjab Kings_v_Gujarat Titans
Gujarat Titans,Punjab Kings,2,DA Miller,17.0,1.0,0.0,0.0,18.0,,,,,,,2023,T20,2023_04_13,Chandigarh,Punjab Kings_v_Gujarat Titans
,,2,AS Joseph,,,,,,Gujarat Titans,Punjab Kings,1.0,27.0,24.0,1.0,2023,T20,2023_04_13,Chandigarh,Punjab Kings_v_Gujarat Titans
,,2,Rashid Khan,,,,,,Gujarat Titans,Punjab Kings,1.0,26.0,24.0,1.0,2023,T20,2023_04_13,Chandigarh,Punjab Kings_v_Gujarat Titans
