inn_bat,name,mnum,rs,four,six,out,bowf,inn_bow,rc,balb,wkt,season,type,date,city,teams,team_nm
1,H Klaasen,19,16.0,2.0,1.0,0.0,6.0,,,,,2023,T20,2023_04_14,Kolkata,Sunrisers Hyderabad_v_Kolkata Knight Riders,Sunrisers Hyderabad
1,T Natarajan,19,,,,,,2.0,53.0,24.0,1.0,2023,T20,2023_04_14,Kolkata,Sunrisers Hyderabad_v_Kolkata Knight Riders,Sunrisers Hyderabad
1,M Markande,19,,,,,,2.0,27.0,24.0,2.0,2023,T20,2023_04_14,Kolkata,Sunrisers Hyderabad_v_Kolkata Knight Riders,Sunrisers Hyderabad
1,M Jansen,19,,,,,,2.0,31.0,24.0,2.0,2023,T20,2023_04_14,Kolkata,Sunrisers Hyderabad_v_Kolkata Knight Riders,Sunrisers Hyderabad
1,B Kumar,19,,,,,,2.0,28.0,24.0,1.0,2023,T20,2023_04_14,Kolkata,Sunrisers Hyderabad_v_Kolkata Knight Riders,Sunrisers Hyderabad
1,RA Tripathi,19,9.0,2.0,0.0,1.0,4.0,,,,,2023,T20,2023_04_14,Kolkata,Sunrisers Hyderabad_v_Kolkata Knight Riders,Sunrisers Hyderabad
1,MA Agarwal,19,9.0,0.0,0.0,1.0,13.0,,,,,2023,T20,2023_04_14,Kolkata,Sunrisers Hyderabad_v_Kolkata Knight Riders,Sunrisers Hyderabad
1,HC Brook,19,100.0,12.0,3.0,0.0,54.0,,,,,2023,T20,2023_04_14,Kolkata,Sunrisers Hyderabad_v_Kolkata Knight Riders,Sunrisers Hyderabad
1,Umran Malik,19,,,,,,2.0,36.0,12.0,1.0,2023,T20,2023_04_14,Kolkata,Sunrisers Hyderabad_v_Kolkata Knight Riders,Sunrisers Hyderabad
1,Abhishek Sharma,19,32.0,3.0,2.0,1.0,17.0,,,,,2023,T20,2023_04_14,Kolkata,Sunrisers Hyderabad_v_Kolkata Knight Riders,Sunrisers Hyderabad
1,Washington Sundar,19,,,,,,2.0,20.0,12.0,0.0,2023,T20,2023_04_14,Kolkata,Sunrisers Hyderabad_v_Kolkata Knight Riders,Sunrisers Hyderabad
1,AK Markram,19,50.0,2.0,5.0,1.0,26.0,,,,,2023,T20,2023_04_14,Kolkata,Sunrisers Hyderabad_v_Kolkata Knight Riders,Sunrisers Hyderabad
2,VR Iyer,19,10.0,2.0,0.0,1.0,11.0,,,,,2023,T20,2023_04_14,Kolkata,Sunrisers Hyderabad_v_Kolkata Knight Riders,Kolkata Knight Riders
2,UT Yadav,19,1.0,0.0,0.0,0.0,1.0,1.0,41.0,18.0,0.0,2023,T20,2023_04_14,Kolkata,Sunrisers Hyderabad_v_Kolkata Knight Riders,Kolkata Knight Riders
2,SP Narine,19,0.0,0.0,0.0,1.0,1.0,1.0,26.0,24.0,0.0,2023,T20,2023_04_14,Kolkata,Sunrisers Hyderabad_v_Kolkata Knight Riders,Kolkata Knight Riders
2,SN Thakur,19,12.0,2.0,0.0,1.0,7.0,1.0,14.0,5.0,0.0,2023,T20,2023_04_14,Kolkata,Sunrisers Hyderabad_v_Kolkata Knight Riders,Kolkata Knight Riders
2,Rahmanullah Gurbaz,19,0.0,0.0,0.0,1.0,3.0,,,,,2023,T20,2023_04_14,Kolkata,Sunrisers Hyderabad_v_Kolkata Knight Riders,Kolkata Knight Riders
2,CV Varun,19,,,,,,1.0,40.0,24.0,1.0,2023,T20,2023_04_14,Kolkata,Sunrisers Hyderabad_v_Kolkata Knight Riders,Kolkata Knight Riders
2,LH Ferguson,19,,,,,,1.0,31.0,12.0,0.0,2023,T20,2023_04_14,Kolkata,Sunrisers Hyderabad_v_Kolkata Knight Riders,Kolkata Knight Riders
2,RK Singh,19,58.0,4.0,4.0,0.0,30.0,,,,,2023,T20,2023_04_14,Kolkata,Sunrisers Hyderabad_v_Kolkata Knight Riders,Kolkata Knight Riders
2,N Rana,19,75.0,5.0,6.0,1.0,40.0,,,,,2023,T20,2023_04_14,Kolkata,Sunrisers Hyderabad_v_Kolkata Knight Riders,Kolkata Knight Riders
2,Suyash Sharma,19,,,,,,1.0,44.0,24.0,0.0,2023,T20,2023_04_14,Kolkata,Sunrisers Hyderabad_v_Kolkata Knight Riders,Kolkata Knight Riders
2,N Jagadeesan,19,36.0,5.0,1.0,1.0,21.0,,,,,2023,T20,2023_04_14,Kolkata,Sunrisers Hyderabad_v_Kolkata Knight Riders,Kolkata Knight Riders
2,AD Russell,19,3.0,0.0,0.0,1.0,6.0,1.0,20.0,13.0,3.0,2023,T20,2023_04_14,Kolkata,Sunrisers Hyderabad_v_Kolkata Knight Riders,Kolkata Knight Riders
