bat_tm_inn1,bow_tm_inn1,inn_bat,name,rs,four,six,out,bowf,bow_tm_inn2,bat_tm_inn2,inn_bow,rc,balb,wkt,season,type,date,city,teams
Sunrisers Hyderabad,Kolkata Knight Riders,1,H Klaasen,16.0,2.0,1.0,0.0,6.0,,,,,,,2023,T20,2023_04_14,Kolkata,Sunrisers Hyderabad_v_Kolkata Knight Riders
,,1,T Natarajan,,,,,,Sunrisers Hyderabad,Kolkata Knight Riders,2.0,53.0,24.0,1.0,2023,T20,2023_04_14,Kolkata,Sunrisers Hyderabad_v_Kolkata Knight Riders
,,1,M Markande,,,,,,Sunrisers Hyderabad,Kolkata Knight Riders,2.0,27.0,24.0,2.0,2023,T20,2023_04_14,Kolkata,Sunrisers Hyderabad_v_Kolkata Knight Riders
,,1,M Jansen,,,,,,Sunrisers Hyderabad,Kolkata Knight Riders,2.0,31.0,24.0,2.0,2023,T20,2023_04_14,Kolkata,Sunrisers Hyderabad_v_Kolkata Knight Riders
,,1,B Kumar,,,,,,Sunrisers Hyderabad,Kolkata Knight Riders,2.0,28.0,24.0,1.0,2023,T20,2023_04_14,Kolkata,Sunrisers Hyderabad_v_Kolkata Knight Riders
Sunrisers Hyderabad,Kolkata Knight Riders,1,RA Tripathi,9.0,2.0,0.0,1.0,4.0,,,,,,,2023,T20,2023_04_14,Kolkata,Sunrisers Hyderabad_v_Kolkata Knight Riders
Sunrisers Hyderabad,Kolkata Knight Riders,1,MA Agarwal,9.0,0.0,0.0,1.0,13.0,,,,,,,2023,T20,2023_04_14,Kolkata,Sunrisers Hyderabad_v_Kolkata Knight Riders
Sunrisers Hyderabad,Kolkata Knight Riders,1,HC Brook,100.0,12.0,3.0,0.0,54.0,,,,,,,2023,T20,2023_04_14,Kolkata,Sunrisers Hyderabad_v_Kolkata Knight Riders
,,1,Umran Malik,,,,,,Sunrisers Hyderabad,Kolkata Knight Riders,2.0,36.0,12.0,1.0,2023,T20,2023_04_14,Kolkata,Sunrisers Hyderabad_v_Kolkata Knight Riders
Sunrisers Hyderabad,Kolkata Knight Riders,1,Abhishek Sharma,32.0,3.0,2.0,1.0,17.0,,,,,,,2023,T20,2023_04_14,Kolkata,Sunrisers Hyderabad_v_Kolkata Knight Riders
,,1,Washington Sundar,,,,,,Sunrisers Hyderabad,Kolkata Knight Riders,2.0,20.0,12.0,0.0,2023,T20,2023_04_14,Kolkata,Sunrisers Hyderabad_v_Kolkata Knight Riders
Sunrisers Hyderabad,Kolkata Knight Riders,1,AK Markram,50.0,2.0,5.0,1.0,26.0,,,,,,,2023,T20,2023_04_14,Kolkata,Sunrisers Hyderabad_v_Kolkata Knight Riders
Kolkata Knight Riders,Sunrisers Hyderabad,2,VR Iyer,10.0,2.0,0.0,1.0,11.0,,,,,,,2023,T20,2023_04_14,Kolkata,Sunrisers Hyderabad_v_Kolkata Knight Riders
Kolkata Knight Riders,Sunrisers Hyderabad,2,UT Yadav,1.0,0.0,0.0,0.0,1.0,Kolkata Knight Riders,Sunrisers Hyderabad,1.0,41.0,18.0,0.0,2023,T20,2023_04_14,Kolkata,Sunrisers Hyderabad_v_Kolkata Knight Riders
Kolkata Knight Riders,Sunrisers Hyderabad,2,SP Narine,0.0,0.0,0.0,1.0,1.0,Kolkata Knight Riders,Sunrisers Hyderabad,1.0,26.0,24.0,0.0,2023,T20,2023_04_14,Kolkata,Sunrisers Hyderabad_v_Kolkata Knight Riders
Kolkata Knight Riders,Sunrisers Hyderabad,2,SN Thakur,12.0,2.0,0.0,1.0,7.0,Kolkata Knight Riders,Sunrisers Hyderabad,1.0,14.0,5.0,0.0,2023,T20,2023_04_14,Kolkata,Sunrisers Hyderabad_v_Kolkata Knight Riders
Kolkata Knight Riders,Sunrisers Hyderabad,2,Rahmanullah Gurbaz,0.0,0.0,0.0,1.0,3.0,,,,,,,2023,T20,2023_04_14,Kolkata,Sunrisers Hyderabad_v_Kolkata Knight Riders
,,2,CV Varun,,,,,,Kolkata Knight Riders,Sunrisers Hyderabad,1.0,40.0,24.0,1.0,2023,T20,2023_04_14,Kolkata,Sunrisers Hyderabad_v_Kolkata Knight Riders
,,2,LH Ferguson,,,,,,Kolkata Knight Riders,Sunrisers Hyderabad,1.0,31.0,12.0,0.0,2023,T20,2023_04_14,Kolkata,Sunrisers Hyderabad_v_Kolkata Knight Riders
Kolkata Knight Riders,Sunrisers Hyderabad,2,RK Singh,58.0,4.0,4.0,0.0,30.0,,,,,,,2023,T20,2023_04_14,Kolkata,Sunrisers Hyderabad_v_Kolkata Knight Riders
Kolkata Knight Riders,Sunrisers Hyderabad,2,N Rana,75.0,5.0,6.0,1.0,40.0,,,,,,,2023,T20,2023_04_14,Kolkata,Sunrisers Hyderabad_v_Kolkata Knight Riders
,,2,Suyash Sharma,,,,,,Kolkata Knight Riders,Sunrisers Hyderabad,1.0,44.0,24.0,0.0,2023,T20,2023_04_14,Kolkata,Sunrisers Hyderabad_v_Kolkata Knight Riders
Kolkata Knight Riders,Sunrisers Hyderabad,2,N Jagadeesan,36.0,5.0,1.0,1.0,21.0,,,,,,,2023,T20,2023_04_14,Kolkata,Sunrisers Hyderabad_v_Kolkata Knight Riders
Kolkata Knight Riders,Sunrisers Hyderabad,2,AD Russell,3.0,0.0,0.0,1.0,6.0,Kolkata Knight Riders,Sunrisers Hyderabad,1.0,20.0,13.0,3.0,2023,T20,2023_04_14,Kolkata,Sunrisers Hyderabad_v_Kolkata Knight Riders
