inn_bat,name,mnum,rs,four,six,out,bowf,inn_bow,rc,balb,wkt,season,type,date,city,teams,team_nm
1,Anuj Rawat,20,15.0,1.0,0.0,0.0,22.0,,,,,2023,T20,2023_04_15,Bengaluru,Royal Challengers Bangalore_v_Delhi Capitals,Royal Challengers Bangalore
1,PWH de Silva,20,,,,,,2.0,37.0,18.0,1.0,2023,T20,2023_04_15,Bengaluru,Royal Challengers Bangalore_v_Delhi Capitals,Royal Challengers Bangalore
1,Mohammed Siraj,20,,,,,,2.0,23.0,24.0,3.0,2023,T20,2023_04_15,Bengaluru,Royal Challengers Bangalore_v_Delhi Capitals,Royal Challengers Bangalore
1,V Kohli,20,50.0,6.0,1.0,1.0,34.0,,,,,2023,T20,2023_04_15,Bengaluru,Royal Challengers Bangalore_v_Delhi Capitals,Royal Challengers Bangalore
1,Shahbaz Ahmed,20,20.0,3.0,0.0,0.0,12.0,2.0,11.0,6.0,0.0,2023,T20,2023_04_15,Bengaluru,Royal Challengers Bangalore_v_Delhi Capitals,Royal Challengers Bangalore
1,MK Lomror,20,26.0,0.0,2.0,1.0,17.0,,,,,2023,T20,2023_04_15,Bengaluru,Royal Challengers Bangalore_v_Delhi Capitals,Royal Challengers Bangalore
1,KD Karthik,20,0.0,0.0,0.0,1.0,1.0,,,,,2023,T20,2023_04_15,Bengaluru,Royal Challengers Bangalore_v_Delhi Capitals,Royal Challengers Bangalore
1,HV Patel,20,6.0,0.0,1.0,1.0,4.0,2.0,29.0,24.0,1.0,2023,T20,2023_04_15,Bengaluru,Royal Challengers Bangalore_v_Delhi Capitals,Royal Challengers Bangalore
1,GJ Maxwell,20,24.0,0.0,3.0,1.0,14.0,,,,,2023,T20,2023_04_15,Bengaluru,Royal Challengers Bangalore_v_Delhi Capitals,Royal Challengers Bangalore
1,F du Plessis,20,22.0,3.0,1.0,1.0,16.0,,,,,2023,T20,2023_04_15,Bengaluru,Royal Challengers Bangalore_v_Delhi Capitals,Royal Challengers Bangalore
1,Vijaykumar Vyshak,20,,,,,,2.0,20.0,24.0,3.0,2023,T20,2023_04_15,Bengaluru,Royal Challengers Bangalore_v_Delhi Capitals,Royal Challengers Bangalore
1,WD Parnell,20,,,,,,2.0,28.0,24.0,1.0,2023,T20,2023_04_15,Bengaluru,Royal Challengers Bangalore_v_Delhi Capitals,Royal Challengers Bangalore
2,PP Shaw,20,0.0,0.0,0.0,1.0,2.0,,,,,2023,T20,2023_04_15,Bengaluru,Royal Challengers Bangalore_v_Delhi Capitals,Delhi Capitals
2,MR Marsh,20,0.0,0.0,0.0,1.0,4.0,1.0,18.0,12.0,2.0,2023,T20,2023_04_15,Bengaluru,Royal Challengers Bangalore_v_Delhi Capitals,Delhi Capitals
2,MK Pandey,20,50.0,5.0,1.0,1.0,38.0,,,,,2023,T20,2023_04_15,Bengaluru,Royal Challengers Bangalore_v_Delhi Capitals,Delhi Capitals
2,Lalit Yadav,20,4.0,0.0,0.0,1.0,7.0,1.0,28.0,24.0,1.0,2023,T20,2023_04_15,Bengaluru,Royal Challengers Bangalore_v_Delhi Capitals,Delhi Capitals
2,Kuldeep Yadav,20,7.0,1.0,0.0,0.0,6.0,1.0,23.0,24.0,2.0,2023,T20,2023_04_15,Bengaluru,Royal Challengers Bangalore_v_Delhi Capitals,Delhi Capitals
2,DA Warner,20,19.0,4.0,0.0,1.0,13.0,,,,,2023,T20,2023_04_15,Bengaluru,Royal Challengers Bangalore_v_Delhi Capitals,Delhi Capitals
2,Aman Hakim Khan,20,18.0,1.0,1.0,1.0,10.0,,,,,2023,T20,2023_04_15,Bengaluru,Royal Challengers Bangalore_v_Delhi Capitals,Delhi Capitals
2,Abishek Porel,20,5.0,0.0,0.0,1.0,8.0,,,,,2023,T20,2023_04_15,Bengaluru,Royal Challengers Bangalore_v_Delhi Capitals,Delhi Capitals
2,Mustafizur Rahman,20,,,,,,1.0,41.0,18.0,0.0,2023,T20,2023_04_15,Bengaluru,Royal Challengers Bangalore_v_Delhi Capitals,Delhi Capitals
2,AR Patel,20,21.0,3.0,0.0,1.0,14.0,1.0,25.0,18.0,1.0,2023,T20,2023_04_15,Bengaluru,Royal Challengers Bangalore_v_Delhi Capitals,Delhi Capitals
2,YV Dhull,20,1.0,0.0,0.0,1.0,4.0,,,,,2023,T20,2023_04_15,Bengaluru,Royal Challengers Bangalore_v_Delhi Capitals,Delhi Capitals
2,A Nortje,20,23.0,4.0,0.0,0.0,14.0,1.0,28.0,24.0,0.0,2023,T20,2023_04_15,Bengaluru,Royal Challengers Bangalore_v_Delhi Capitals,Delhi Capitals
