inn_bat,name,mnum,rs,four,six,out,bowf,inn_bow,rc,balb,wkt,season,type,date,city,teams,team_nm
1,A Badoni,21,5.0,0.0,0.0,0.0,6.0,,,,,2023,T20,2023_04_15,Lucknow,Lucknow Super Giants_v_Punjab Kings,Lucknow Super Giants
1,DJ Hooda,21,2.0,0.0,0.0,1.0,3.0,,,,,2023,T20,2023_04_15,Lucknow,Lucknow Super Giants_v_Punjab Kings,Lucknow Super Giants
1,K Gowtham,21,1.0,0.0,0.0,1.0,2.0,2.0,30.0,24.0,1.0,2023,T20,2023_04_15,Lucknow,Lucknow Super Giants_v_Punjab Kings,Lucknow Super Giants
1,KH Pandya,21,18.0,2.0,0.0,1.0,16.0,2.0,32.0,18.0,1.0,2023,T20,2023_04_15,Lucknow,Lucknow Super Giants_v_Punjab Kings,Lucknow Super Giants
1,KL Rahul,21,74.0,8.0,1.0,1.0,56.0,,,,,2023,T20,2023_04_15,Lucknow,Lucknow Super Giants_v_Punjab Kings,Lucknow Super Giants
1,KR Mayers,21,29.0,1.0,3.0,1.0,23.0,,,,,2023,T20,2023_04_15,Lucknow,Lucknow Super Giants_v_Punjab Kings,Lucknow Super Giants
1,MP Stoinis,21,15.0,0.0,2.0,1.0,11.0,,,,,2023,T20,2023_04_15,Lucknow,Lucknow Super Giants_v_Punjab Kings,Lucknow Super Giants
1,N Pooran,21,0.0,0.0,0.0,1.0,1.0,,,,,2023,T20,2023_04_15,Lucknow,Lucknow Super Giants_v_Punjab Kings,Lucknow Super Giants
1,Ravi Bishnoi,21,3.0,0.0,0.0,0.0,1.0,2.0,17.0,15.0,2.0,2023,T20,2023_04_15,Lucknow,Lucknow Super Giants_v_Punjab Kings,Lucknow Super Giants
1,Yudhvir Singh,21,0.0,0.0,0.0,1.0,1.0,2.0,19.0,18.0,2.0,2023,T20,2023_04_15,Lucknow,Lucknow Super Giants_v_Punjab Kings,Lucknow Super Giants
1,Avesh Khan,21,,,,,,2.0,23.0,18.0,0.0,2023,T20,2023_04_15,Lucknow,Lucknow Super Giants_v_Punjab Kings,Lucknow Super Giants
1,MA Wood,21,,,,,,2.0,33.0,24.0,2.0,2023,T20,2023_04_15,Lucknow,Lucknow Super Giants_v_Punjab Kings,Lucknow Super Giants
2,Arshdeep Singh,21,,,,,,1.0,21.0,18.0,1.0,2023,T20,2023_04_15,Lucknow,Lucknow Super Giants_v_Punjab Kings,Punjab Kings
2,Sikandar Raza,21,57.0,4.0,3.0,1.0,41.0,1.0,18.0,12.0,1.0,2023,T20,2023_04_15,Lucknow,Lucknow Super Giants_v_Punjab Kings,Punjab Kings
2,SM Curran,21,6.0,1.0,0.0,1.0,6.0,1.0,29.0,24.0,3.0,2023,T20,2023_04_15,Lucknow,Lucknow Super Giants_v_Punjab Kings,Punjab Kings
2,P Simran Singh,21,4.0,1.0,0.0,1.0,4.0,,,,,2023,T20,2023_04_15,Lucknow,Lucknow Super Giants_v_Punjab Kings,Punjab Kings
2,Harpreet Brar,21,6.0,1.0,0.0,1.0,4.0,1.0,10.0,12.0,1.0,2023,T20,2023_04_15,Lucknow,Lucknow Super Giants_v_Punjab Kings,Punjab Kings
2,M Shahrukh Khan,21,23.0,1.0,2.0,0.0,10.0,,,,,2023,T20,2023_04_15,Lucknow,Lucknow Super Giants_v_Punjab Kings,Punjab Kings
2,K Rabada,21,0.0,0.0,0.0,0.0,1.0,1.0,32.0,24.0,2.0,2023,T20,2023_04_15,Lucknow,Lucknow Super Giants_v_Punjab Kings,Punjab Kings
2,JM Sharma,21,2.0,0.0,0.0,1.0,4.0,,,,,2023,T20,2023_04_15,Lucknow,Lucknow Super Giants_v_Punjab Kings,Punjab Kings
2,Harpreet Singh,21,22.0,3.0,0.0,1.0,22.0,,,,,2023,T20,2023_04_15,Lucknow,Lucknow Super Giants_v_Punjab Kings,Punjab Kings
2,Atharva Taide,21,0.0,0.0,0.0,1.0,3.0,,,,,2023,T20,2023_04_15,Lucknow,Lucknow Super Giants_v_Punjab Kings,Punjab Kings
2,MW Short,21,34.0,5.0,1.0,1.0,22.0,1.0,10.0,12.0,0.0,2023,T20,2023_04_15,Lucknow,Lucknow Super Giants_v_Punjab Kings,Punjab Kings
2,RD Chahar,21,,,,,,1.0,27.0,18.0,0.0,2023,T20,2023_04_15,Lucknow,Lucknow Super Giants_v_Punjab Kings,Punjab Kings
