inn_bat,name,mnum,rs,four,six,out,bowf,inn_bow,rc,balb,wkt,season,type,date,city,teams,team_nm
1,AD Russell,22,21.0,3.0,1.0,0.0,11.0,2.0,17.0,6.0,0.0,2023,T20,2023_04_16,Mumbai,Kolkata Knight Riders_v_Mumbai Indians,Kolkata Knight Riders
1,LH Ferguson,22,,,,,,2.0,19.0,10.0,1.0,2023,T20,2023_04_16,Mumbai,Kolkata Knight Riders_v_Mumbai Indians,Kolkata Knight Riders
1,CV Varun,22,,,,,,2.0,37.0,24.0,1.0,2023,T20,2023_04_16,Mumbai,Kolkata Knight Riders_v_Mumbai Indians,Kolkata Knight Riders
1,Suyash Sharma,22,,,,,,2.0,27.0,24.0,2.0,2023,T20,2023_04_16,Mumbai,Kolkata Knight Riders_v_Mumbai Indians,Kolkata Knight Riders
1,VR Iyer,22,104.0,6.0,9.0,1.0,51.0,,,,,2023,T20,2023_04_16,Mumbai,Kolkata Knight Riders_v_Mumbai Indians,Kolkata Knight Riders
1,SP Narine,22,2.0,0.0,0.0,0.0,2.0,2.0,39.0,18.0,0.0,2023,T20,2023_04_16,Mumbai,Kolkata Knight Riders_v_Mumbai Indians,Kolkata Knight Riders
1,UT Yadav,22,,,,,,2.0,19.0,12.0,0.0,2023,T20,2023_04_16,Mumbai,Kolkata Knight Riders_v_Mumbai Indians,Kolkata Knight Riders
1,Rahmanullah Gurbaz,22,8.0,0.0,0.0,1.0,12.0,,,,,2023,T20,2023_04_16,Mumbai,Kolkata Knight Riders_v_Mumbai Indians,Kolkata Knight Riders
1,N Jagadeesan,22,0.0,0.0,0.0,1.0,5.0,,,,,2023,T20,2023_04_16,Mumbai,Kolkata Knight Riders_v_Mumbai Indians,Kolkata Knight Riders
1,RK Singh,22,18.0,2.0,0.0,1.0,18.0,,,,,2023,T20,2023_04_16,Mumbai,Kolkata Knight Riders_v_Mumbai Indians,Kolkata Knight Riders
1,N Rana,22,5.0,0.0,0.0,1.0,10.0,,,,,2023,T20,2023_04_16,Mumbai,Kolkata Knight Riders_v_Mumbai Indians,Kolkata Knight Riders
1,SN Thakur,22,13.0,1.0,0.0,1.0,11.0,2.0,24.0,12.0,1.0,2023,T20,2023_04_16,Mumbai,Kolkata Knight Riders_v_Mumbai Indians,Kolkata Knight Riders
2,RP Meredith,22,,,,,,1.0,40.0,24.0,1.0,2023,T20,2023_04_16,Mumbai,Kolkata Knight Riders_v_Mumbai Indians,Mumbai Indians
2,PP Chawla,22,,,,,,1.0,19.0,24.0,1.0,2023,T20,2023_04_16,Mumbai,Kolkata Knight Riders_v_Mumbai Indians,Mumbai Indians
2,HR Shokeen,22,,,,,,1.0,33.0,24.0,2.0,2023,T20,2023_04_16,Mumbai,Kolkata Knight Riders_v_Mumbai Indians,Mumbai Indians
2,D Jansen,22,,,,,,1.0,49.0,24.0,1.0,2023,T20,2023_04_16,Mumbai,Kolkata Knight Riders_v_Mumbai Indians,Mumbai Indians
2,Arjun Tendulkar,22,,,,,,1.0,16.0,12.0,0.0,2023,T20,2023_04_16,Mumbai,Kolkata Knight Riders_v_Mumbai Indians,Mumbai Indians
2,TH David,22,24.0,1.0,2.0,0.0,13.0,,,,,2023,T20,2023_04_16,Mumbai,Kolkata Knight Riders_v_Mumbai Indians,Mumbai Indians
2,SA Yadav,22,43.0,4.0,3.0,1.0,25.0,,,,,2023,T20,2023_04_16,Mumbai,Kolkata Knight Riders_v_Mumbai Indians,Mumbai Indians
2,N Wadhera,22,6.0,1.0,0.0,1.0,4.0,,,,,2023,T20,2023_04_16,Mumbai,Kolkata Knight Riders_v_Mumbai Indians,Mumbai Indians
2,Ishan Kishan,22,58.0,5.0,5.0,1.0,25.0,,,,,2023,T20,2023_04_16,Mumbai,Kolkata Knight Riders_v_Mumbai Indians,Mumbai Indians
2,C Green,22,1.0,0.0,0.0,0.0,1.0,1.0,14.0,12.0,1.0,2023,T20,2023_04_16,Mumbai,Kolkata Knight Riders_v_Mumbai Indians,Mumbai Indians
2,Tilak Varma,22,30.0,3.0,1.0,1.0,25.0,,,,,2023,T20,2023_04_16,Mumbai,Kolkata Knight Riders_v_Mumbai Indians,Mumbai Indians
2,RG Sharma,22,20.0,1.0,2.0,1.0,13.0,,,,,2023,T20,2023_04_16,Mumbai,Kolkata Knight Riders_v_Mumbai Indians,Mumbai Indians
