inn_bat,name,mnum,rs,four,six,out,bowf,inn_bow,rc,balb,wkt,season,type,date,city,teams,team_nm
1,A Manohar,23,27.0,0.0,3.0,1.0,13.0,,,,,2023,T20,2023_04_16,Ahmedabad,Gujarat Titans_v_Rajasthan Royals,Gujarat Titans
1,B Sai Sudharsan,23,20.0,2.0,0.0,0.0,19.0,,,,,2023,T20,2023_04_16,Ahmedabad,Gujarat Titans_v_Rajasthan Royals,Gujarat Titans
1,DA Miller,23,46.0,3.0,2.0,1.0,30.0,,,,,2023,T20,2023_04_16,Ahmedabad,Gujarat Titans_v_Rajasthan Royals,Gujarat Titans
1,HH Pandya,23,28.0,3.0,1.0,1.0,19.0,2.0,24.0,24.0,1.0,2023,T20,2023_04_16,Ahmedabad,Gujarat Titans_v_Rajasthan Royals,Gujarat Titans
1,R Tewatia,23,1.0,0.0,0.0,0.0,1.0,,,,,2023,T20,2023_04_16,Ahmedabad,Gujarat Titans_v_Rajasthan Royals,Gujarat Titans
1,Rashid Khan,23,1.0,0.0,0.0,1.0,1.0,2.0,46.0,24.0,2.0,2023,T20,2023_04_16,Ahmedabad,Gujarat Titans_v_Rajasthan Royals,Gujarat Titans
1,Shubman Gill,23,45.0,4.0,1.0,2.0,34.0,,,,,2023,T20,2023_04_16,Ahmedabad,Gujarat Titans_v_Rajasthan Royals,Gujarat Titans
1,WP Saha,23,4.0,1.0,0.0,1.0,3.0,,,,,2023,T20,2023_04_16,Ahmedabad,Gujarat Titans_v_Rajasthan Royals,Gujarat Titans
1,Noor Ahmad,23,,,,,,2.0,28.0,14.0,1.0,2023,T20,2023_04_16,Ahmedabad,Gujarat Titans_v_Rajasthan Royals,Gujarat Titans
1,Mohammed Shami,23,,,,,,2.0,24.0,24.0,3.0,2023,T20,2023_04_16,Ahmedabad,Gujarat Titans_v_Rajasthan Royals,Gujarat Titans
1,MM Sharma,23,,,,,,2.0,7.0,12.0,0.0,2023,T20,2023_04_16,Ahmedabad,Gujarat Titans_v_Rajasthan Royals,Gujarat Titans
1,AS Joseph,23,,,,,,2.0,47.0,18.0,0.0,2023,T20,2023_04_16,Ahmedabad,Gujarat Titans_v_Rajasthan Royals,Gujarat Titans
2,A Zampa,23,,,,,,1.0,32.0,24.0,2.0,2023,T20,2023_04_16,Ahmedabad,Gujarat Titans_v_Rajasthan Royals,Rajasthan Royals
2,YBK Jaiswal,23,1.0,0.0,0.0,1.0,7.0,,,,,2023,T20,2023_04_16,Ahmedabad,Gujarat Titans_v_Rajasthan Royals,Rajasthan Royals
2,TA Boult,23,0.0,0.0,0.0,0.0,1.0,1.0,44.0,24.0,1.0,2023,T20,2023_04_16,Ahmedabad,Gujarat Titans_v_Rajasthan Royals,Rajasthan Royals
2,R Ashwin,23,10.0,1.0,1.0,1.0,3.0,1.0,37.0,24.0,0.0,2023,T20,2023_04_16,Ahmedabad,Gujarat Titans_v_Rajasthan Royals,Rajasthan Royals
2,SO Hetmyer,23,56.0,2.0,5.0,0.0,26.0,,,,,2023,T20,2023_04_16,Ahmedabad,Gujarat Titans_v_Rajasthan Royals,Rajasthan Royals
2,R Parag,23,5.0,0.0,0.0,1.0,7.0,,,,,2023,T20,2023_04_16,Ahmedabad,Gujarat Titans_v_Rajasthan Royals,Rajasthan Royals
2,Sandeep Sharma,23,,,,,,1.0,24.0,24.0,3.0,2023,T20,2023_04_16,Ahmedabad,Gujarat Titans_v_Rajasthan Royals,Rajasthan Royals
2,JC Buttler,23,0.0,0.0,0.0,1.0,5.0,,,,,2023,T20,2023_04_16,Ahmedabad,Gujarat Titans_v_Rajasthan Royals,Rajasthan Royals
2,Dhruv Jurel,23,18.0,2.0,1.0,1.0,10.0,,,,,2023,T20,2023_04_16,Ahmedabad,Gujarat Titans_v_Rajasthan Royals,Rajasthan Royals
2,D Padikkal,23,26.0,2.0,2.0,1.0,25.0,,,,,2023,T20,2023_04_16,Ahmedabad,Gujarat Titans_v_Rajasthan Royals,Rajasthan Royals
2,SV Samson,23,60.0,3.0,6.0,1.0,32.0,,,,,2023,T20,2023_04_16,Ahmedabad,Gujarat Titans_v_Rajasthan Royals,Rajasthan Royals
2,YS Chahal,23,,,,,,1.0,35.0,24.0,1.0,2023,T20,2023_04_16,Ahmedabad,Gujarat Titans_v_Rajasthan Royals,Rajasthan Royals
