inn_bat,name,mnum,rs,four,six,out,bowf,inn_bow,rc,balb,wkt,season,type,date,city,teams,team_nm
1,AM Rahane,24,37.0,3.0,2.0,1.0,20.0,,,,,2023,T20,2023_04_17,Bengaluru,Chennai Super Kings_v_Royal Challengers Bangalore,Chennai Super Kings
1,AT Rayudu,24,14.0,1.0,1.0,1.0,6.0,,,,,2023,T20,2023_04_17,Bengaluru,Chennai Super Kings_v_Royal Challengers Bangalore,Chennai Super Kings
1,DP Conway,24,83.0,6.0,6.0,1.0,45.0,,,,,2023,T20,2023_04_17,Bengaluru,Chennai Super Kings_v_Royal Challengers Bangalore,Chennai Super Kings
1,MM Ali,24,19.0,0.0,2.0,0.0,7.0,2.0,13.0,6.0,1.0,2023,T20,2023_04_17,Bengaluru,Chennai Super Kings_v_Royal Challengers Bangalore,Chennai Super Kings
1,MS Dhoni,24,1.0,0.0,0.0,0.0,1.0,,,,,2023,T20,2023_04_17,Bengaluru,Chennai Super Kings_v_Royal Challengers Bangalore,Chennai Super Kings
1,RA Jadeja,24,10.0,0.0,1.0,1.0,8.0,2.0,37.0,24.0,0.0,2023,T20,2023_04_17,Bengaluru,Chennai Super Kings_v_Royal Challengers Bangalore,Chennai Super Kings
1,RD Gaikwad,24,3.0,0.0,0.0,1.0,6.0,,,,,2023,T20,2023_04_17,Bengaluru,Chennai Super Kings_v_Royal Challengers Bangalore,Chennai Super Kings
1,S Dube,24,52.0,2.0,5.0,1.0,27.0,,,,,2023,T20,2023_04_17,Bengaluru,Chennai Super Kings_v_Royal Challengers Bangalore,Chennai Super Kings
1,M Theekshana,24,,,,,,2.0,40.0,24.0,1.0,2023,T20,2023_04_17,Bengaluru,Chennai Super Kings_v_Royal Challengers Bangalore,Chennai Super Kings
1,M Pathirana,24,,,,,,2.0,40.0,24.0,2.0,2023,T20,2023_04_17,Bengaluru,Chennai Super Kings_v_Royal Challengers Bangalore,Chennai Super Kings
1,TU Deshpande,24,,,,,,2.0,42.0,24.0,3.0,2023,T20,2023_04_17,Bengaluru,Chennai Super Kings_v_Royal Challengers Bangalore,Chennai Super Kings
1,Akash Singh,24,,,,,,2.0,35.0,18.0,1.0,2023,T20,2023_04_17,Bengaluru,Chennai Super Kings_v_Royal Challengers Bangalore,Chennai Super Kings
2,Mohammed Siraj,24,,,,,,1.0,29.0,24.0,1.0,2023,T20,2023_04_17,Bengaluru,Chennai Super Kings_v_Royal Challengers Bangalore,Royal Challengers Bangalore
2,HV Patel,24,,,,,,1.0,32.0,20.0,1.0,2023,T20,2023_04_17,Bengaluru,Chennai Super Kings_v_Royal Challengers Bangalore,Royal Challengers Bangalore
2,WD Parnell,24,2.0,0.0,0.0,1.0,5.0,1.0,48.0,24.0,1.0,2023,T20,2023_04_17,Bengaluru,Chennai Super Kings_v_Royal Challengers Bangalore,Royal Challengers Bangalore
2,MK Lomror,24,0.0,0.0,0.0,1.0,5.0,,,,,2023,T20,2023_04_17,Bengaluru,Chennai Super Kings_v_Royal Challengers Bangalore,Royal Challengers Bangalore
2,Shahbaz Ahmed,24,12.0,0.0,1.0,1.0,10.0,,,,,2023,T20,2023_04_17,Bengaluru,Chennai Super Kings_v_Royal Challengers Bangalore,Royal Challengers Bangalore
2,SS Prabhudessai,24,19.0,0.0,2.0,1.0,11.0,,,,,2023,T20,2023_04_17,Bengaluru,Chennai Super Kings_v_Royal Challengers Bangalore,Royal Challengers Bangalore
2,PWH de Silva,24,2.0,0.0,0.0,0.0,2.0,1.0,21.0,12.0,1.0,2023,T20,2023_04_17,Bengaluru,Chennai Super Kings_v_Royal Challengers Bangalore,Royal Challengers Bangalore
2,KD Karthik,24,28.0,3.0,1.0,1.0,14.0,,,,,2023,T20,2023_04_17,Bengaluru,Chennai Super Kings_v_Royal Challengers Bangalore,Royal Challengers Bangalore
2,GJ Maxwell,24,76.0,3.0,8.0,1.0,36.0,1.0,27.0,16.0,1.0,2023,T20,2023_04_17,Bengaluru,Chennai Super Kings_v_Royal Challengers Bangalore,Royal Challengers Bangalore
2,F du Plessis,24,62.0,5.0,4.0,1.0,33.0,,,,,2023,T20,2023_04_17,Bengaluru,Chennai Super Kings_v_Royal Challengers Bangalore,Royal Challengers Bangalore
2,V Kohli,24,6.0,1.0,0.0,1.0,4.0,,,,,2023,T20,2023_04_17,Bengaluru,Chennai Super Kings_v_Royal Challengers Bangalore,Royal Challengers Bangalore
2,Vijaykumar Vyshak,24,,,,,,1.0,62.0,24.0,1.0,2023,T20,2023_04_17,Bengaluru,Chennai Super Kings_v_Royal Challengers Bangalore,Royal Challengers Bangalore
